"1224
TERM:","","","","Percentage Distribution of Grades","","","","","","","","","","","","Office of the Registrar"
"Spring 2021-2022","","","","","","","","","","","","","","","","Institutional Reporting"
"","","","","University of Wisconsin - Madison","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","",""
"HUMAN ONCOLOGY","Section
#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW
NR
Other"
"","Grades","GPA","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","",""
"H ONCOL
480","55
Dept. Total","3.906","38.2",".","3.6",".",".",".",".","58.2",".",".",".",".","",".  
.  
.  
."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW
NR
Other"
"","Grades","GPA","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","",""
"Sophomore","3","***","","","","","","","","","",".",".",".","",".  
.  
.  
."
