"","POPULATION HEALTH SCIENCE Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","","",""
"Publ Hlth:Local-Globl Perspect","370","001","378","3.399","26.2","39.2","27.0","3.7","1.6","0.3","0.8","0.3","",".",".","",".","",".","0.8",".","0.3","."
"Intro-Environmental Health","471","001","69","3.601","59.4","17.4","17.4","1.4","2.9",".","1.4",".","",".",".","",".","",".",".",".",".","."
"Regression Methods-Pop Health","552","001","14","3.500","28.6","35.7","28.6",".",".",".",".","7.1","",".",".","",".","",".",".",".",".","."
"Intro-Nutritnl Epidemiology","621","002","5","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Public Health Genomics","636","001","10","3.400","50.0","20.0",".","20.0","10.0",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","002","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","008","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","009","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","011","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","020","7","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","079","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","102","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","103","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Independent Reading","","Course Total","22","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Translat'l & Outcomes Research","709","001","12","3.917","91.7",".","8.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Climate Change Medicine","728","007","23","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Climt Chng, Human & Plan Hlth","739","001","10","3.800","70.0","20.0","10.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Physical Activity Epidemiology","791","001","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Principles-Populatn Health Sci","795","002","24","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro-Health Services Research","796","001","6","3.583","33.3","50.0","16.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Epidemiologic Methods","798","001","12","3.583","50.0","33.3","8.3",".","8.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Epidemiology-Infect Disease","801","001","15","3.967","93.3","6.7",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Practice of Epidemiology","806","001","8","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Social Netwrk Anlysis & Health","819","001","12","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate Research Seminar","820","001","13","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","915","002","6","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","915","004","6","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","915","007","6","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","915","050","6","3.600","33.3","33.3","16.7",".",".",".",".",".","",".",".","",".","",".","16.7",".",".","."
"Internl Hlth Systems & Policy","","Course Total","24","3.600","8.3","8.3","4.2",".",".",".",".","75.0","",".",".","",".","",".","4.2",".",".","."
"","917","041","4","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","917","043","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Preventive Medicine Elective","","Course Total","5","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Env. Health and Advocacy","918","009","5","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","002","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","003","2","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","005","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","007","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","008","3","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","990","009","3","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","014","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","Page 414 of 454",""
