"MEDICAL SCIENCES - MED SCH","Section","# 
Ave","A","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades
GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","722
003","20",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","722
004","16",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","722
042","10",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Clinicl Anatomy & Radiology","Course Total","46",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","723
002","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","723
007","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Indep Adv Anatomy Dissection","Course Total","6",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Overview of Rural Health","740
001","22",".","",".","",".",".","",".","",".","",".","95.5","",".",".","",".","",".","",".",".","4.5","."
"Food, Fasting & Fitness","772
001","171",".","",".","",".",".","",".","",".","",".","99.4","",".",".","",".","",".","",".",".",".","0.6"
"Human Family Tree","773
001","171",".","",".","",".",".","",".","",".","",".","95.3","",".",".","",".","",".","","1.2",".",".","3.5"
"Care Across the Life Cycle","810
021","43",".","",".","",".",".","",".","",".","",".","86.0","",".",".","",".","",".","","2.3",".",".","11.6"
"Chronic and Preventive Care","811
021","38",".","",".","",".",".","",".","",".","",".","94.7","",".",".","",".","",".","",".",".",".","5.3"
"Acute Care","812
021","47",".","",".","",".",".","",".","",".","",".","93.6","",".",".","",".","",".","",".",".",".","6.4"
"Surgical and Procedural Care","813
021","45",".","",".","",".",".","",".","",".","",".","82.2","",".",".","",".","",".","","2.2",".",".","15.6"
"","902
041","18",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","902
042","18",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","902
043","21",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","902
044","18",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Ambulatory Acting Internship","Course Total","75",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"MEDiC Selective","910
042","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","913
006","8",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","913
007","7",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"WARM Internship Prep Elective","Course Total","15",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Case-based Teaching in Med Ed","914
042","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"American Indian Health","930
101","12",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
