"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Drugs and Their Actions","310
001","","197","3.566","56.9","13.2","","21.8","5.6","","1.5","","0.5","","0.5","",".","",".",".","",".","",".",".",".",".","."
"Biopharm & Pharmacokinetics","421
001","","132","3.545","43.2","36.4","","10.6","6.1","","3.8","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Biol Interactions w/ Materials","430
001","","3","3.500","33.3","33.3","","33.3",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Selected Topics-Pharm Sci","490
001","","5","3.800","60.0","40.0","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Selected Topics-Pharm Sci","493
001","","1","3.500",".","100.0","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Pharmacology II","522
001","","115","3.543","53.9","21.7","","13.9","5.2","","2.6","","2.6","",".","",".","",".",".","",".","",".",".",".",".","."
"Medicinal Chemistry I","531
001","","131","3.289","38.9","18.3","","19.8","12.2","","3.8","","3.8","","0.8","",".","",".",".","",".","",".","2.3",".",".","."
"Medicinal Chemistry II","532
001","","97","3.562","53.6","16.5","","19.6","9.3","","1.0","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Pharm Calc & Compounding","541
001","","132","3.739","64.4","19.7","","15.2","0.8","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Mol & Cell Principles in Pharm","581
001","","2","3.750","50.0","50.0","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Toxicology II","626
001","","13","3.500","38.5","30.8","","23.1","7.7","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Pharmacol & Toxicology Seminar","679
001","","42","3.869","90.5","7.1","",".",".","",".","",".","","2.4","",".","",".",".","",".","",".",".",".",".","."
"","699
017","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
021","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
035","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
036","","1","",".",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".","100.0","."
"","699
037","","2","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
038","","3","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
049","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
061","","2","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
082","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
084","","2","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
091","","2","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
092","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
098","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Advanced Independent Study","Course Total","","19","4.000","94.7",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".","5.3","."
"","752
001","","11","3.955","90.9","9.1","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","752
002","","11","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"GxP: Working in Reg Environmnt","Course Total","","22","3.977","95.5","4.5","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","753
001","","34","3.985","94.1","2.9","",".",".","",".","",".","",".","",".","",".",".","",".","",".","2.9",".",".","."
"","753
002","","11","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Pharm Economics and Proj","Course Total","","45","3.989","95.6","2.2","",".",".","",".","",".","",".","",".","",".",".","",".","",".","2.2",".",".","."
"Lab and Instrumentation","755
001","","19","3.947","89.5","10.5","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Trends in Drug Disc/Dev","759
001","","28","3.875","78.6","17.9","","3.6",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Summative Research Internship","760
001","","3","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Molecular Solids","773
001","","3","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","932
001","","21","",".",".","",".",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"","932
002","","17","",".",".","",".",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"","932
003","","22","",".",".","",".",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"Pharmaceutical Sci Seminar","Course Total","","60","",".",".","",".",".","",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"","990
010","","1","",".",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","","","Page 434 of 454",""
