"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","70","3.331","37.1","31.4","10.0","10.0","","4.3","","1.4","2.9","",".","",".",".","",".","",".",".",".","2.9","."
"Intro-Field of Social Work","205
001","97","3.660","67.0","12.4","9.3","8.2","","3.1","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Introduction-Social Policy","206
001","65","3.100","6.2","44.6","29.2","12.3","","4.6","","1.5","1.5","",".","",".",".","",".","",".",".",".",".","."
"","401
008","14","4.000","100.0",".",".",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","401
009","8","4.000","100.0",".",".",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","401
010","10","4.000","100.0",".",".",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","401
011","12","3.953","91.7","8.3",".",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","401
012","15","4.000","100.0",".",".",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","401
013","15","4.000","100.0",".",".",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","401
014","11","3.894","90.9",".","9.1",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","401
015","11","4.000","100.0",".",".",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","401
101","12","3.667","58.3","16.7","25.0",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","401
102","12","3.833","75.0","16.7","8.3",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","120","3.939","91.7","4.2","4.2",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Genlst Pract w Comms & Orgs","442
010","26","3.962","92.3","7.7",".",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Alcohol & Other Drug Abuse","453
001","77","3.740","63.6","24.7","7.8","3.9","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Human Behavior & Environmnt","457
001","69","3.681","58.0","29.0","8.7",".","","4.3","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Family Violence","523
001","15","4.000","100.0",".",".",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Social Policy","606
001","51","3.863","76.5","19.6","3.9",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","612
001","20","3.975","95.0","5.0",".",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","612
002","23","3.913","82.6","17.4",".",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","612
003","24","3.979","95.8","4.2",".",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","612
004","20","3.925","90.0","5.0","5.0",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Psychopathology in Gnlst Pract","Course Total","87","3.948","90.8","8.0","1.1",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Sex Trafficking & Sex Trading","627
001","23","3.826","69.6","26.1","4.3",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Soc Work in Am Indian Communit","636
001","6","3.583","50.0","33.3",".","16.7","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","639
001","15","3.200","33.3","13.3","46.7",".","",".","",".","6.7","",".","",".",".","",".","",".",".",".",".","."
"","639
002","9","3.889","77.8","22.2",".",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"GLBT Issues and Social Welfare","Course Total","24","3.397","50.0","16.7","29.2",".","",".","",".","4.2","",".","",".",".","",".","",".",".",".",".","."
"","644
001","10","3.550","50.0","20.0","20.0","10.0","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","644
002","15","3.867","80.0","13.3","6.7",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","644
010","20","3.816","70.0","20.0",".","5.0","",".","",".",".","",".","",".",".","",".","",".","5.0",".",".","."
"Issues in Dev. Disabilities","Course Total","45","3.750","68.9","17.8","6.7","4.4","",".","",".",".","",".","",".",".","",".","",".","2.2",".",".","."
"","646
001","24","3.688","75.0","16.7",".","4.2","",".","",".","4.2","",".","",".",".","",".","",".",".",".",".","."
"","646
010","14","3.958","78.6","7.1",".",".","",".","",".",".","",".","",".",".","",".","",".","14.3",".",".","."
"Child Abuse and Neglect","Course Total","38","3.778","76.3","13.2",".","2.6","",".","",".","2.6","",".","",".",".","",".","",".","5.3",".",".","."
"Palliative & End-of-Life SW","648
001","18","3.971","88.9","5.6",".",".","",".","",".",".","",".","",".",".","",".","",".",".",".","5.6","."
"Methods-Social Wrk Research","650
001","54","3.806","83.3","5.6","3.7","3.7","","3.7","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","656
001","14","3.893","78.6","21.4",".",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","656
002","7","3.929","85.7","14.3",".",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","656
010","12","3.083","25.0","25.0","33.3","8.3","",".","",".","8.3","",".","",".",".","",".","",".",".",".",".","."
"Fam Prac-Foster & Kinship Care","Course Total","33","3.656","60.6","21.2","12.1","3.0","",".","",".","3.0","",".","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","Page 324 of 454",""
