"COMMUNICATION SCI & DISORD Section","","#","","Ave","A","AB","B","","BC","C","","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Practicum in Com Disorders","Course Total","","51","3.944","78.4","2.0","",".",".","",".","2.0","",".","",".","",".",".","",".","",".","17.6",".",".","."
"","799
006","","1","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","799
025","","4","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","799
060","","1","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","799
071","","2","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Independent Study","Course Total","","8","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Pediatric Audiology","832
001","","8","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Pediat Habilitatn/Rehabilitatn","836
001","","7","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Geriatric Audiol: Diag & Rehab","849
001","","11","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Amplification Systems I","856
001","","8","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Lab in Amplification Systems I","857
001","","8","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Physiolog Assess Audiology I","858
001","","8","3.875","75.0","25.0","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Lab-Physiol Assess Aud Sys I","859
001","","8","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Auditory & Vestibular Path II","862
001","","11","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Amplification Systems II","866
001","","11","3.955","90.9","9.1","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"School Mthds for Audiologists","867
001","","7","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","891
018","","2","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","891
026","","1","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","891
046","","1","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","891
050","","2","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","891
085","","2","3.750","50.0","50.0","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Clerkship in Audiology I","Course Total","","8","3.938","87.5","12.5","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","892
018","","2","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","892
026","","2","3.750","50.0","50.0","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","892
046","","1","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","892
050","","3","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","892
085","","3","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Clerkship in Audiology II","Course Total","","11","3.955","90.9","9.1","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Clerkship in Audiology III","893
001","","8","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Externship in Audiology","894
001","","9","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","899
006","","3","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","899
013","","5","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","899
015","","2","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","899
018","","2","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","899
023","","2","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","899
026","","1","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","899
046","","1","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","899
050","","2","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Capstone Study in Audiology","Course Total","","18","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Smr-Prob in Audiology","921
001","","9","3.944","88.9","11.1","",".",".","",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","990
001","","2","",".",".","",".",".","",".",".","",".","","50.0","",".",".","",".","50.0","",".",".",".","."
"","990
004","","2","",".",".","",".",".","",".",".","",".","100.0","","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","","Page 208 of 454",""
