"COLLABORATIVE NURSING PRG Section","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Transitions: Pract & Prof","306
001","","9","3.313","22.2","22.2","33.3","11.1","",".","",".","",".","",".","",".",".","",".","",".","11.1","",".",".","."
"","407
001","","4","3.250","25.0","25.0","25.0","25.0","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","407
003","","7","3.786","71.4","14.3","14.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Foundations Prof Nursing Pract","Course Total","","11","3.591","54.5","18.2","18.2","9.1","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","441
001","","1","3.500",".","100.0",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","441
002","","3","3.167",".","66.7",".","33.3","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","441
003","","9","3.056",".","44.4","22.2","33.3","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Chronic Care Management","Course Total","","13","3.115",".","53.8","15.4","30.8","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","446
001","","2","3.250",".","50.0","50.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","446
002","","3","3.333",".","66.7","33.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","446
003","","9","3.556","33.3","44.4","22.2",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Nrsg Research & EB Practice","Course Total","","14","3.464","21.4","50.0","28.6",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","447
001","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","447
002","","2","3.250",".","50.0","50.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","447
003","","7","3.929","85.7","14.3",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Leadership and Management","Course Total","","11","3.818","72.7","18.2","9.1",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","453
001","","3","3.833","66.7","33.3",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","453
002","","2","3.750","50.0","50.0",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","453
003","","5","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Info Mgt & Hlthcare Tech","Course Total","","10","3.900","80.0","20.0",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","454
001","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","454
002","","2","3.500",".","100.0",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","454
003","","3","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Community Health Nursing","Course Total","","7","3.857","71.4","28.6",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","490
002","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","490
003","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","490
004","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","490
005","","3","3.833","66.7","33.3",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","490
006","","3","3.333","33.3","33.3",".","33.3","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","490
007","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special Topics in Nursing","Course Total","","11","3.773","72.7","18.2",".","9.1","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Capstone Practicum for RNs","519
001","","14","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
