"EDUCATIONAL POLICY STUDIES Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","","","","","",""
"Hist:The Univ in the West","107","001","","11","3.455","45.5","18.2","18.2","18.2",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Introduction to Education","140","001","","61","3.712","68.9","9.8","9.8","6.6","1.6",".",".","1.6","",".",".","",".","",".","1.6",".",".","."
"Intro to Education Policy","145","001","","29","3.679","62.1","17.2","10.3","3.4","3.4",".",".",".","",".",".","",".","",".",".",".",".","3.4"
"","150","001","","29","3.500","55.2","20.7","3.4","17.2",".","3.4",".",".","",".",".","",".","",".",".",".",".","."
"","150","002","","28","3.679","67.9","17.9","3.6","3.6","7.1",".",".",".","",".",".","",".","",".",".",".",".","."
"","150","005","","15","3.800","80.0","6.7","6.7","6.7",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","150","006","","8","3.750","37.5","37.5",".",".",".",".",".",".","",".",".","",".","",".","25.0",".",".","."
"Education and Public Policy","","Course Total","","80","3.641","62.5","18.8","3.8","8.8","2.5","1.3",".",".","",".",".","",".","",".","2.5",".",".","."
"Race,Ethnicty&Inequal-Am Ed","200","001","","31","3.871","83.9","6.5","9.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","210","001","","77","3.825","84.4","7.8","3.9","1.3","1.3",".","1.3",".","",".",".","",".","",".",".",".",".","."
"","210","002","","23","3.848","82.6","13.0",".",".","4.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Youth, Education, and Society","","Course Total","","100","3.830","84.0","9.0","3.0","1.0","2.0",".","1.0",".","",".",".","",".","",".",".",".",".","."
"Educating for Social Change","212","001","","43","4.000","97.7",".",".",".",".",".",".",".","",".",".","",".","",".","2.3",".",".","."
"Wealth, Poverty and Inequality","237","001","","18","4.000","88.9",".",".",".",".",".",".",".","",".",".","",".","",".","11.1",".",".","."
"","240","001","","27","3.907","81.5","18.5",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","240","002","","68","3.836","79.4","11.8","2.9","2.9","1.5",".",".",".","",".",".","",".","",".","1.5",".",".","."
"Comparative Education","","Course Total","","95","3.856","80.0","13.7","2.1","2.1","1.1",".",".",".","",".",".","",".","",".","1.1",".",".","."
"International Educational Dev","260","001","","15","3.900","80.0","20.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","300","001","","72","3.750","73.6","15.3","2.8","4.2","4.2",".",".",".","",".",".","",".","",".",".",".",".","."
"","300","002","","61","3.931","90.2","1.6",".","1.6","1.6",".",".",".","",".",".","",".","",".","4.9",".",".","."
"School and Society","","Course Total","","133","3.831","81.2","9.0","1.5","3.0","3.0",".",".",".","",".",".","",".","",".","2.3",".",".","."
"Globalization and Education","335","001","","32","3.645","71.9","18.8",".",".",".",".","6.3",".","",".",".","",".","",".","3.1",".",".","."
"History-American Education","412","001","","78","3.734","70.5","12.8","9.0","3.8","2.6",".",".",".","",".",".","",".","",".",".",".",".","1.3"
"Immigration Education Equity","460","001","","27","3.827","81.5","11.1",".",".",".","3.7",".",".","",".",".","",".","",".","3.7",".",".","."
"Urban School Policy","510","001","","29","3.611","58.6","13.8","10.3","3.4","6.9",".",".",".","",".",".","",".","",".","6.9",".",".","."
"Law and Public Education","542","001","","12","3.800","75.0",".",".",".","8.3",".",".",".","",".",".","",".","",".","16.7",".",".","."
"Philos Concepts-Tch&Learng","545","001","","9","4.000","88.9",".",".",".",".",".",".",".","",".",".","",".","",".","11.1",".",".","."
"Gender and Education","560","001","","14","3.571","85.7",".",".",".",".","14.3",".",".","",".",".","",".","",".",".",".",".","."
"History of African-Amer Educ","567","001","","11","3.778","45.5","36.4",".",".",".",".",".",".","",".",".","",".","",".","18.2",".",".","."
"Problems in Educ Pol","600","001","","8","3.688","75.0",".","12.5","12.5",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Sociology of Education","648","001","","10","3.950","90.0","10.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Independent Reading","699","009","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Qualitative Research","719","001","","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","788","001","","5","4.000","80.0",".",".",".",".",".",".",".","",".",".","",".","",".","20.0",".",".","."
"","788","002","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","","Course Total","","6","4.000","83.3",".",".",".",".",".",".",".","",".",".","",".","",".","16.7",".",".","."
"Theory & Meth in Compar Ed","860","001","","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Smr-History of Education","907","001","","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Seminar in Urban Education","911","001","","5","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
