"1224
TERM:","","","","Percentage Distribution of Grades","","","","","","","","","","","","Office of the Registrar"
"Spring 2021-2022","","","","","","","","","","","","","","","","Institutional Reporting"
"","","","","University of Wisconsin - Madison","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","",""
"MEDICAL MICROBIOL & IMMUNO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW
NR
Other"
"","Grades","GPA","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","",""
"M M & I
620","296
Dept. Total","3.574","57.8","7.4","8.1","4.1","3.7","2.4","0.3","3.0",".",".",".","11.8","0.7",".  
0.7
."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW
NR
Other"
"","Grades","GPA","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","",""
"Sophomore","3","***","","","","","","","","","",".",".",".","",".  
.  
.  
."
