"COMMUNITY & ENVIRONMENTA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"864
C&E SOC","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Community & Envir Soc","140","001","","39","3.141","25.6","30.8","17.9","12.8","7.7","2.6","2.6",".","",".",".","",".","",".",".",".",".","."
"Survey of Sociology","210","001","","7","3.357","28.6","28.6","28.6","14.3",".",".",".",".","",".",".","",".","",".",".",".",".","."
"The Sociological Enterprise","211","001","","9","3.667","44.4","44.4","11.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Food, Culture, and Society","222","001","","32","3.707","65.6","12.5","3.1","3.1","6.3",".",".",".","",".",".","",".","",".","6.3","3.1",".","."
"Envir, Nat Resources & Society","248","001","","14","3.500","78.6",".","7.1",".","7.1",".","7.1",".","",".",".","",".","",".",".",".",".","."
"Latin America-Introduction","260","001","","2","3.750","50.0","50.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Independent Study","299","075","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Meth-Sociological Inquiry","357","001","","9","3.389","44.4","33.3","11.1",".",".","11.1",".",".","",".",".","",".","",".",".",".",".","."
"Stats for Sociologists I","360","001","","10","3.700","60.0","30.0",".","10.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Data Mgt for Soc Sci Research","365","001","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","071","","3","3.900","66.7","33.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Education for Sustainable Cmty","405","001","","14","3.654","64.3","7.1","14.3",".","7.1",".",".",".","",".",".","",".","",".","7.1",".",".","."
"","475","002","","5","3.600","40.0","40.0","20.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","475","003","","2","3.750","50.0","50.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Classical Soc Theory","","Course Total","","7","3.643","42.9","42.9","14.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Capstone Experience","500","001","","12","3.833","66.7",".",".","8.3",".",".",".",".","",".",".","",".","",".","25.0",".",".","."
"Soc-Int'l Dev, Envir&Sustain","540","001","","15","3.357","33.3","26.7","20.0",".","13.3",".",".","6.7","",".",".","",".","",".",".",".",".","."
"Community Development","617","001","","9","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Special Problems","699","075","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Special Topics","875","005","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Smr-Race & Ethnic Relations","922","002","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Soc-Econ Chng-Underdev Area","925","001","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Rsch:Comm & Environmental Soc","985","001","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Research","990","075","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Reading and Research","999","071","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
