"PATHOLOGY AND LABORATORY Section","#","","Ave","A","","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"404
001","","129","3.117","","23.3","","27.1","","17.8","19.4","","7.8","","3.9","",".",".","",".",".","",".","",".","","0.8",".",".","."
"404
002","","22","2.762","","22.7","","22.7","","13.6","4.5","","13.6","","13.6","","4.5",".","",".",".","",".","",".","",".",".","4.5","."
"Course Total
Pathophys Princ-Hum Disease","","151","3.067","","23.2","","26.5","","17.2","17.2","","8.6","","5.3","","0.7",".","",".",".","",".","",".","","0.7",".","0.7","."
"699
001","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
052","","2","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
088","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
100","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
102","","3","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
104","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
105","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
106","","1","3.000","",".","",".","100.0","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Course Total
Independent Study","","11","3.931","","90.9","",".","","9.1",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"750
001
Cellulr & Moleclr Biol/Path","","21","3.850","","81.0","","4.8","","14.3",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"807
001
Immunopathology","","7","3.571","","42.9","","28.6","","28.6",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"809
001
Moleculr Mechanisms of Disease","","8","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"901
001
Student Seminar / Journal Club","","39","","",".","",".","",".",".","",".","",".","",".",".","",".","100.0","",".","",".","",".",".",".","."
"920
001","","5","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"920
002","","5","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"920
003","","4","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"920
004","","3","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"920
005","","4","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"920
006","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"920
007","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"920
008","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"920
009","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Course Total
General Pathology Clerkship","","28","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"921
001","","10","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"921
002","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"921
003","","5","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"921
004","","15","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"921
005","","12","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"921
007","","15","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"921
008","","4","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"921
009","","14","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"921
011","","14","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Course Total
Transfusion Med Customized","","90","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"922
001","","10","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"922
002","","12","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"922
003","","7","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"922
004","","15","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"922
005","","16","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"922
007","","7","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"922
009","","10","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"922
011","","3","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","Page 400 of 454",""
