"PHYSICAL THERAPY","Section","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"745
PHY THER","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Principles-Pro Practice&Adm","512
001","","39","3.949","89.7","10.3","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Foundations of PT Intervention","534
001","","40","3.650","35.0","60.0","","5.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Psychosoc Aspects of Hlth Care","540
001","","40","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Practice Issues in PT","543
001","","39","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Cl Decision Mkng:Neuromus Mech","628
001","","40","3.638","42.5","42.5","","15.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Motor Control Dysfunction II","636
001","","39","3.744","53.8","41.0","","5.1",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Scientific Inquiry-Phy Ther","640
001","","40","3.763","60.0","32.5","","7.5",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","642
003","","1","",".",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","100.0","."
"","642
004","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","642
005","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Research Practicum","Course Total","","3","4.000","66.7",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","33.3","."
"Current Iss in Rehab Rsch II","643
001","","39","",".",".","",".",".","",".","",".","",".",".","",".","100.0","",".","",".","",".",".",".","."
"Clinical Medicine II","665
001","","40","3.613","32.5","57.5","","10.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Musculoskeletal Dysfunction II","677
001","","39","3.538","25.6","56.4","","17.9",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Clinical Internship I","700
002","","40","",".",".","",".",".","",".","",".","",".",".","",".","100.0","",".","",".","",".",".",".","."
"Clinical Internship VI","705
002","","38","",".",".","",".",".","",".","",".","",".",".","",".","94.7","",".","",".","",".",".",".","."
"Clinical Internship VII","706
003","","38","",".",".","",".",".","",".","",".","",".",".","",".","100.0","",".","",".","",".",".",".","."
"","799
004","","6","4.000","83.3",".","",".",".","",".","",".","",".","16.7","",".",".","",".","",".","",".",".",".","."
"","799
005","","20","3.925","85.0","15.0","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","799
007","","19","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","799
009","","2","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","799
010","","4","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Independent Study","Course Total","","51","3.972","92.2","5.9","",".",".","",".","",".","",".","2.0","",".",".","",".","",".","",".",".",".","."
