"SOCIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","475","002","","32","3.323","31.3","34.4","15.6","9.4","","3.1","",".","3.1",".","",".",".","",".","",".","3.1",".",".","."
"","475","003","","17","3.071","17.6","11.8","35.3","11.8","",".","","5.9",".",".","",".",".","",".","",".","5.9","11.8",".","."
"Classical Soc Theory","","Course Total","","49","3.244","26.5","26.5","22.4","10.2","","2.0","","2.0","2.0",".","",".",".","",".","",".","4.1","4.1",".","."
"","496","003","","3","3.000","66.7",".",".",".","",".","","33.3",".",".","",".",".","",".","",".",".",".",".","."
"","496","006","","21","3.667","71.4","19.0","4.8",".","",".","",".","4.8",".","",".",".","",".","",".",".",".",".","."
"","496","008","","11","3.600","54.5","18.2","9.1",".","","9.1","",".",".",".","",".",".","",".","",".",".",".","9.1","."
"","496","027","","13","3.583","46.2","30.8",".","15.4","",".","",".",".",".","",".",".","",".","",".","7.7",".",".","."
"Topics in Sociology","","Course Total","","48","3.587","60.4","20.8","4.2","4.2","","2.1","","2.1","2.1",".","",".",".","",".","",".","2.1",".","2.1","."
"Soc-Int'l Dev, Envir&Sustain","540","001","","11","3.650","45.5","27.3","18.2",".","",".","",".",".","9.1","",".",".","",".","",".",".",".",".","."
"Community Development","617","001","","5","3.800","80.0",".","20.0",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Sociology of Law","641","001","","19","3.368","21.1","47.4","15.8","15.8","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Sociology of Education","648","001","","24","3.667","66.7","8.3","8.3",".","",".","",".","4.2",".","",".",".","",".","",".","8.3","4.2",".","."
"Senior Honors Thesis","681","094","","1","",".",".",".",".","",".","",".",".",".","",".",".","",".","100.0","",".",".",".","."
"Senior Honors Thesis","682","041","","1","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Pract-Analysis & Research","693","001","","9","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Crimnl Justice Fld Observtn","694","001","","1","0.000",".",".",".",".","",".","",".","100.0",".","",".",".","",".","",".",".",".",".","."
"","699","039","","1","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","084","","1","",".",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".","100.0","."
"Directed Study","","Course Total","","2","4.000","50.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".","50.0","."
"Intmed Soc Psych-Indiv&Scty","730","001","","7","3.786","71.4","14.3","14.3",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Intermediate Classical Theory","773","001","","17","3.706","58.8","23.5","17.6",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Interdis W Europ Studies Sm","804","001","","2","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","875","001","","12","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","875","003","","2","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","875","005","","4","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Special Topics","","Course Total","","18","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Smr: Topics in Current Soc","901","002","","8","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Sociological Perspectvs-Gender","904","001","","11","3.909","81.8","18.2",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Seminar-Sociological Theory","915","001","","5","3.900","80.0","20.0",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Smr-Race & Ethnic Relations","922","002","","4","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Soc-Econ Chng-Underdev Area","925","001","","4","4.000","25.0",".",".",".","",".","",".",".","75.0","",".",".","",".","",".",".",".",".","."
"Rsch:Sociol of Gender Trainees","984","001","","7","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Rsch:Comm & Environmental Soc","985","001","","3","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Rsch: Race & Ethnic Studies","987","001","","4","3.917","75.0","25.0",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","990","006","","2","",".",".",".",".","",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","008","","1","",".",".",".",".","",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","009","","1","",".",".",".",".","",".","",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","990","011","","1","",".",".",".",".","",".","",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","990","022","","3","",".",".",".",".","",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","024","","3","",".",".",".",".","",".","",".",".",".","",".",".","",".","100.0","",".",".",".","."
