"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","699
072","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
085","","3","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
090","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","699
093","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Advanced Independent Study","Course Total","","34","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","740
006","","14","3.893","85.7","7.1","7.1",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","740
007","","15","3.867","80.0","13.3","6.7",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","740
008","","5","3.900","80.0","20.0",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","","34","3.882","82.4","11.8","5.9",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","741
006","","22","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","741
007","","8","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","741
008","","15","3.967","93.3","6.7",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","741
070","","1","3.000",".",".","100.0",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","741
270","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","","47","3.968","95.7","2.1","2.1",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","742
006","","24","3.979","95.8","4.2",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","742
007","","6","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","742
008","","15","3.933","86.7","13.3",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Health-system Pharm Clerkship","Course Total","","45","3.967","93.3","6.7",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","743
006","","15","4.000","93.3",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","6.7",".",".","."
"","743
007","","16","3.938","87.5","12.5",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","743
008","","8","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Community Pharmarcy Practice","Course Total","","39","3.974","92.3","5.1",".",".","",".","",".","",".","",".","",".",".","",".","",".","2.6",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746
001","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","760
006","","49","3.918","89.8","6.1","2.0","2.0","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","760
007","","71","3.915","90.1","4.2","4.2","1.4","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","760
008","","72","3.965","94.4","4.2","1.4",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","760
015","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","760
018","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","760
025","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","760
077","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","760
085","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","760
088","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","760
093","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","760
115","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","760
125","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","760
193","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","760
215","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","760
218","","1","3.000",".",".","100.0",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","760
225","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","760
235","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","760
280","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","760
285","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","760
293","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
