"Spring 2021-2022","","","","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KINESIOLOGY","Section","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","399
006","","4","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","399
010","","6","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","399
011","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","399
017","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","399
022","","2","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","399
027","","2","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","399
029","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","399
035","","3","3.833","66.7","33.3","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","399
036","","3","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","399
039","","3","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Independent Study","Course Total","","30","3.984","96.7","3.3","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Fitness Test & Exer Prescript","427
001","","23","3.326","34.8","13.0","","39.1","8.7","","4.3","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478
001","","2","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479
001","","2","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Theory Health Programs","501
001","","30","3.933","86.7","13.3","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","508
001","","5","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","508
002","","12","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Workshop in Kinesiology","Course Total","","17","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Phys Act for Diverse Abilities","516
001","","26","3.942","96.2",".","",".","3.8","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Physical Activity & Health","521
001","","12","3.917","83.3","16.7","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Nutrition, Fitness and Health","525
001","","19","3.167","15.8","36.8","","15.8","15.8","","10.5","",".","",".",".","",".",".","",".","",".","","5.3",".",".","."
"Sem in Strength and Cond","528
001","","4","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Neural Control of Movement","531
001","","43","3.814","74.4","16.3","","7.0","2.3","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Promoting Community Health","566
001","","61","3.918","83.6","16.4","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Stdt Tchg-Health Education","568
001","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Clin Field Exp in Athl Train I","622
001","","12","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Eval and Therapeutic Interv II","653
001","","12","3.500","25.0","50.0","","25.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Clin Medicine Athl Training II","655
001","","12","3.792","58.3","41.7","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Scientific Inqry Athl Training","656
001","","12","3.875","83.3","8.3","","8.3",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Diagnostic Imag Athl Training","671
001","","12","3.958","91.7","8.3","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Internship in Kinesiology","690
001","","9","",".",".","",".",".","",".","",".","",".",".","",".","100.0","",".","",".","",".",".",".","."
"","699
003","","12","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
006","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
007","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
010","","1","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","699
023","","1","3.500",".","100.0","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
029","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","699
036","","6","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Independent Study","Course Total","","23","3.965","91.3","4.3","",".",".","",".","",".","",".","4.3","",".",".","",".","",".","",".",".",".","."
"Psychological Effects-Exercise","700
001","","20","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Hum Muscl Func/Hlth&Disease","779
001","","8","3.786","62.5","12.5","","12.5",".","",".","",".","",".","12.5","",".",".","",".","",".","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","","","Page 107 of 454",""
