"EDUCATIONAL PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","711
017","","5","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","711
018","","3","4.000","66.7",".",".",".","",".","",".","",".",".","",".",".","",".","",".","33.3",".",".","."
"","711
019","","3","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","","88","3.984","96.6","2.3",".",".","",".","",".","",".",".","",".",".","",".","",".","1.1",".",".","."
"Ed Psych Diversity Seminar","712
001","","15","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Qualitative Research","719
001","","7","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Cog Assess-Children in Schools","740
001","","21","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Design of Single-Case Research","743
001","","21","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","761
001","","26","3.960","88.5","7.7",".",".","",".","",".","",".","3.8","",".",".","",".","",".",".",".",".","."
"","761
002","","43","3.845","72.1","20.9","4.7",".","",".","",".","",".",".","",".",".","",".","",".","2.3",".",".","."
"Stat Meth-Applied to Ed II","Course Total","","69","3.888","78.3","15.9","2.9",".","",".","",".","",".","1.4","",".",".","",".","",".","1.4",".",".","."
"Scaling, Factr&Cluster Anal","773
001","","14","3.962","85.7","7.1",".",".","",".","",".","",".","7.1","",".",".","",".","",".",".",".",".","."
"Intro to Learning Sciences II","796
001","","6","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Surveys/Quant Data Collection","827
001","","6","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","840
001","","10","3.850","90.0",".",".","10.0","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","840
002","","20","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","840
004","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","840
006","","21","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","840
008","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","","53","3.974","98.1",".",".","1.9","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Capstone Smr in Prevention Sci","881
001","","9","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sysms-Consltn in Schl Psych","942
001","","23","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","943
001","","5","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","943
002","","12","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Internshp-School Psychology","Course Total","","17","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Adv Assess&Interven Techniques","946
001","","8","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Evidence-based Chld Psychother","947
001","","23","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Structural Equation Modeling","960
001","","17","3.971","94.1","5.9",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Hierarchical Linear Modeling","964
001","","17","4.000","88.2",".",".",".","",".","",".","",".","11.8","",".",".","",".","",".",".",".",".","."
"","990
002","","6","",".",".",".",".","",".","",".","",".","83.3","",".",".","",".","",".","16.7",".",".","."
"","990
003","","1","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
005","","2","",".",".",".",".","",".","",".","",".","50.0","","50.0",".","",".","",".",".",".",".","."
"","990
006","","4","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
012","","1","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
013","","2","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
014","","6","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
025","","1","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
028","","1","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
031","","2","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
041","","2","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
