"VET","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICAL HISTORY AND BIOETHI Section","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"370
001
Sci Ethics Dis of Animal Rsrch","","16","3.500","6.3","81.3","6.3","",".","",".","",".","",".","",".","",".",".","",".","",".","6.3",".",".","."
"MED HIST
Dept. Total
452","","16","3.500","6.3","81.3","6.3","",".","",".","",".","",".","",".","",".",".","",".","",".","6.3",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","***","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","","6","3.500","16.7","66.7","16.7","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","6","3.500",".","83.3",".","",".","",".","",".","",".","",".","",".",".","",".","",".","16.7",".",".","."
"Undergraduates","","16","3.500","6.3","81.3","6.3","",".","",".","",".","",".","",".","",".",".","",".","",".","6.3",".",".","."
"Dept. Total","","16","3.500","6.3","81.3","6.3","",".","",".","",".","",".","",".","",".",".","",".","",".","6.3",".",".","."
