"MEDICAL HISTORY AND BIOETHI Section","","","# 
Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","","Grades
GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Glbl Envir Hlth:Interdis Intro","213","001","130
3.873","83.8","","11.5","","3.8","",".","",".","",".","","0.8",".","",".",".","",".","",".","",".",".",".","."
"Public Health Ethics","515","001","12
3.625","50.0","","25.0","","25.0","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Health and the Humanities","525","001","10
3.800","70.0","","20.0","","10.0","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Ethical Issues in Health Care","558","001","46
3.644","39.1","","47.8","","10.9","",".","",".","",".","",".","2.2","",".",".","",".","",".","",".",".",".","."
"","730","001","15",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","730","002","2",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Topics in Bioethics","","Course Total","17",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Narrative Med & Public Health","740","001","15",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Ethics in Public Health","741","001","12",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Intro to Med Humanities","744","007","9",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Race,Science&Med:Past&Present","746","004","12",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Migration and Global Health","750","011","18",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"MED HIST
452","","Dept. Total","281
3.802","49.8","","14.9","","5.0","",".","",".","",".","","0.4","29.9","",".",".","",".","",".","",".",".",".","."
