"Spring 2021-2022","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"PUBLIC HEALTH","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"828
PUBLHLTH","","","","","","","","","","","","","","","","","","","","","","","",""
"Topics in Public Health","700
001","29","3.983","96.6","3.4",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Global Health","710
001","10","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"GlobalHealthSystemsGovernance","711
001","12","3.833","91.7",".",".",".","8.3","",".","",".",".","",".",".","",".","",".",".",".",".","."
"GlobalHealthInfectDis","712
001","16","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"GlobalHealthNonCommDiseases","713
001","14","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"GlobalHlthFieldWorkFundamentls","714
001","25","3.940","88.0","12.0",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Global Health Issue Analysis","715
001","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Clinical Med & Public Health","777
001","10","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Quant Approaches to PublicHlth","784
001","48","3.638","56.3","20.8","12.5","8.3",".","",".","",".",".","",".",".","",".","",".","2.1",".",".","."
"PH and HC Systems","785
001","50","3.783","64.0","18.0","8.0","2.0",".","",".","",".",".","",".",".","",".","",".","6.0",".","2.0","."
"Plnng & Mngmt to Promote Hlth","786
001","53","3.849","71.7","26.4","1.9",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"MPH Applied Practice Exp Semin","787
001","42","3.914","73.8","4.8","4.8",".",".","",".","",".",".","",".",".","",".","",".","16.7",".",".","."
"Applied Practice Experience","788
001","5","",".",".",".",".",".","",".","",".","60.0","",".",".","",".","",".","40.0",".",".","."
"PH Social Justice:Tools/Models","790
001","34","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Public Health Leadership","793
001","30","3.867","86.7","6.7","3.3",".","3.3","",".","",".",".","",".",".","",".","",".",".",".",".","."
"PUBLHLTH
828","Dept. Total","379","3.830","68.6","10.8","3.7","1.3","0.5","",".","",".","11.3","",".",".","",".","",".","3.4",".","0.3","."
