"OPHTHALMOLOGY AND VISUAL  Section","#","","Ave","A","","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"699
001","","2","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
002","","1","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","100.0","."
"699
004","","4","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
013","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
152","","4","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
298","","5","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
299","","6","4.000","","83.3","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","","16.7",".",".","."
"Course Total
Directed Study","","23","4.000","","91.3","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","","4.3",".","4.3","."
"750
001
Vision Science","","9","3.944","","88.9","","11.1","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"910
006","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"910
008","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"910
044","","5","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Course Total
Indep Rdg & Rsch-4th Yr Med","","8","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"911
043
Intro to the Visual System","","5","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"919
002","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"919
004","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"919
006","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"919
008","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Course Total
Individual Phase 3 Clinical","","4","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"OPHTHALM
Dept. Total
702","","49","3.978","","59.2","","2.0","",".",".","",".","",".","",".","34.7","",".",".","",".","",".","","2.0",".","2.0","."
