"Spring 2021-2022","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"URBAN AND REGIONAL PLANNI","Section","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","","","","",""
"Welcome to Your Urban Future","215","001","104","3.770","82.7","4.8","3.8","1.9","1.9","1.9","1.0","",".","",".",".","",".","",".","1.9",".",".","."
"Introduction to the City","305","001","30","3.800","76.7","13.3","6.7",".","3.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"The Real Estate Process","306","001","4","3.375","25.0","50.0",".","25.0",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","420","001","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","420","002","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Urban & Regional Economics","","Course Total","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Evolution-American Planning","463","001","9","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Urban Spatial Patterns&Thry","505","001","2","3.750","50.0","50.0",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Climate Action Plan Transport","551","001","15","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Contemp Topics-Urb & Reg Pl","590","001","19","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Community Development","617","001","11","3.818","90.9",".",".",".","9.1",".",".","",".","",".",".","",".","",".",".",".",".","."
"Directed Study","699","001","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Regional Econ Prob Analysis","734","001","6","3.917","83.3","16.7",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Planning Thought & Practice","781","002","21","3.952","90.5","9.5",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Visual Communication","791","001","19","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Planning & the Legal System","833","001","20","3.763","55.0","35.0","5.0",".",".",".",".","",".","",".",".","",".","",".","5.0",".",".","."
"Housing and Public Policy","844","001","32","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Practical Rsch Design&Inquiry","955","001","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","990","002","2","",".",".",".",".",".",".",".","100.0","","",".",".","",".","",".",".",".",".","."
"","990","004","2","",".",".",".",".",".",".",".","100.0","","",".",".","",".","",".",".",".",".","."
"","990","018","3","",".",".",".",".",".",".",".","100.0","","",".",".","",".","",".",".",".",".","."
"","990","031","1","",".",".",".",".",".",".",".","100.0","","",".",".","",".","",".",".",".",".","."
"Research and Thesis","","Course Total","8","",".",".",".",".",".",".",".","100.0","","",".",".","",".","",".",".",".",".","."
"","999","002","1","3.500",".","100.0",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","999","007","5","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","999","018","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","999","035","4","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Independent Work","","Course Total","11","3.929","90.9","9.1",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
