"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"105
Health Care: Intrdis Appr","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"411
Psychosoc & Mgmt Aspects-Pharm","001","","128","3.523","36.7","36.7","21.1","5.5",".",".",".",".",".",".",".",".",".",".",".","."
"561
Greek & Roman Med & Phcy","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"618
Prof Decision-Making/Phm Pract","001","","134","3.955","91.0","9.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"711
Resrch Mthds Phm Outcms/Policy","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"713
Pharmaceuticl Marketing&Policy","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"911
Research Seminar in SAS","001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"S&A PHM
732","Dept. Total","","291","3.711","63.9","21.0","9.3","2.4",".",".",".","1.7",".",".",".","0.3","1.4",".",".","."
