"RISK MANAGEMENT AND INSUR Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300","001","233","3.041","30.5","5.2","35.2","6.4","18.9","2.1","0.9",".","0.9",".",".",".",".",".",".","."
"Contemporary Topics","365","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Liability Risk Management","615","001","43","3.500","32.6","46.5","9.3","11.6",".",".",".",".",".",".",".",".",".",".",".","."
"Employee Benefits Managemnt","620","001","68","3.272","20.6","30.9","36.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Sustainbl, Envir&Soc Risk Mgmt","650","001","21","3.571","38.1","38.1","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Risk Mgmt","700","001","31","3.516","38.7","35.5","19.4","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Act Sci, Risk Mgmt & Ins I","920","001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","999","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Risk Mgt&Ins Phd","","Course Total","2","***","","","","","","","","","","","","","","","",""
