"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"910","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","5","***","","","","","","","","","","","","","","","",""
"916","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"916","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"916","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"916","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Palliative Care (CSC)","Course Total","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"919","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","3","***","","","","","","","","","","","","","","","",""
"920","041","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","042","","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","043","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","045","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Req 4th Yr Med Subintrnshp","Course Total","","60","3.867","76.7","20.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"921","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulat Med Clerk-Stdt Hlth","Course Total","","3","***","","","","","","","","","","","","","","","",""
"930","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Women's Health in Primary Care","Course Total","","4","***","","","","","","","","","","","","","","","",""
"936","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"936","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Medical Oncology Clinics","Course Total","","2","***","","","","","","","","","","","","","","","",""
"940
Allergy & Clinical Immunology","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"942
Clin Electrophys-Milwaukee","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cardiol Consult Serv-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"945
Acute Care Med Cardiol-Milw","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"951
Ambulatory Cardiology","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"953","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"953","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"953","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 349 of 403",""
