"NEUROLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","",""
"","699
015","","19","3.906","94.7",".",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","699
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
093","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
094","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
098","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurol 699: Directed Research","Course Total","","39","3.961","97.4",".",".","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","041
812","","15","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
042","","17","3.433","29.4","17.6","41.2",".",".",".",".",".",".",".",".",".","5.9",".","5.9","."
"","812
043","","15","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
044","","15","3.467","26.7","40.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neuroscience Core Clerkship","Course Total","","62","3.450","27.4","32.3","37.1",".",".",".",".",".",".",".",".",".","1.6",".","1.6","."
