"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","160","2.863","22.5","12.5","21.9","12.5","26.3","3.1","1.3",".",".",".",".",".",".",".",".","."
"","100","002","144","2.734","14.6","14.6","23.6","11.8","29.9","2.1","2.8",".",".",".",".",".",".",".","0.7","."
"General Anthropology","","Course Total","304","2.802","18.8","13.5","22.7","12.2","28.0","2.6","2.0",".",".",".",".",".",".",".","0.3","."
"Archaeology & Prehist World","102","001","111","2.743","14.4","14.4","28.8","1.8","33.3","3.6","1.8",".",".",".",".",".",".",".",".","1.8"
"","104","001","387","3.276","20.2","35.7","31.0","8.3","3.9","0.8","0.3",".",".",".",".",".",".",".",".","."
"","104","002","389","3.247","19.0","39.3","24.9","10.0","4.6","1.8","0.3",".",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","","Course Total","776","3.262","19.6","37.5","28.0","9.1","4.3","1.3","0.3",".",".",".",".",".",".",".",".","."
"Principles - Biological Anthro","105","001","312","3.492","53.2","18.6","12.2","7.7","4.2","1.6","1.0",".",".",".",".",".",".",".",".","1.6"
"Principles of Archaeology","112","001","69","3.007","13.0","24.6","33.3","14.5","11.6","2.9",".",".",".",".",".",".",".",".",".","."
"Fr/Soph Seminar in Anthro","120","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","32","3.203","9.4","37.5","37.5","15.6",".",".",".",".",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","55","3.036","10.9","18.2","47.3","14.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","17","3.029","47.1",".","11.8","17.6","17.6",".","5.9",".",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303","001","10","2.444","30.0",".","20.0",".","20.0",".","20.0","10.0",".",".",".",".",".",".",".","."
"Topics in Archaeology","310","001","38","3.250","26.3","31.6","18.4","13.2","10.5",".",".",".",".",".",".",".",".",".",".","."
"Indians of North America","314","001","46","3.381","30.4","26.1","23.9","4.3","6.5",".",".","6.5",".",".",".",".","2.2",".",".","."
"Anthropology of Religion","343","001","23","3.582","47.8","21.7","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Quechua","361","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Course in Archaeology","370","068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Yucatec Maya","376","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","410","001","25","3.042","20.0","20.0","24.0","12.0","20.0",".",".",".",".",".",".",".",".","4.0",".","."
"","410","010","6","2.500","16.7","16.7",".","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","","Course Total","31","2.933","19.4","19.4","19.4","12.9","22.6","3.2",".",".",".",".",".",".",".","3.2",".","."
"Language and Culture","430","001","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Primate Behavioral Ecology","458","001","85","3.288","30.6","27.1","18.8","21.2","1.2",".","1.2",".",".",".",".",".",".",".",".","."
"Ethnobotany","474","001","14","3.464","57.1","14.3","7.1","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"","490","001","14","3.321","14.3","57.1","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","490","003","16","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","30","3.450","33.3","40.0","13.3","10.0","3.3",".",".",".",".",".",".",".",".",".",".","."
"Anthropology and Education","570","001","8","2.813","12.5","12.5","12.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"Current Probs-Paleoanthro","605","001","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Primate Conservation","668","001","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems in Anthropology","690","003","14","3.674","57.1","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","084","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Archaeologic Meth-Curation","696","001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","027","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","080","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 164 of 403",""
