"","699
086","","4","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
104","","9","4.000","100.0",".","","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","699
106","","8","4.000","100.0",".","","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"NEURODPT 699","Course Total","","42","4.000","97.6","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","2.4","."
"NEURODPT
681","Dept. Total","","42","4.000","97.6","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","2.4","."
"Summary by Level","","#","","Ave","A","AB","","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"681
NEURODPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","6","4.000","83.3","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","16.7","."
"Junior","","","12","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","23","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","42","4.000","97.6","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","2.4","."
"","Dept. Total","","42","4.000","97.6","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","2.4","."
