"TERM : 1152","","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2014-2015","","","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURGERY","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURGERY
936","Dept. Total","","98","3.939","82.7","8.2","2.0",".","",".","",".","",".","6.1","",".",".","",".","",".","",".",".","1.0","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","6","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","16","3.973","93.8","6.3",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","16","3.963","87.5","6.3",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","6.3","."
"Undergraduates","","","38","3.973","92.1","5.3",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","2.6","."
"Special","","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","","1","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","55","3.915","76.4","10.9","3.6",".","",".","",".","",".","9.1","",".",".","",".","",".","",".",".",".","."
"Professionals","","","58","3.919","75.9","10.3","3.4",".","",".","",".","",".","10.3","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","98","3.939","82.7","8.2","2.0",".","",".","",".","",".","6.1","",".",".","",".","",".","",".",".","1.0","."
