"L&S","","","","","","","","","","","","","","","","","","",""
"JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","",""
"Mass Media in Multicultrl Amer","162
002","140","3.314","32.1","30.0","23.6","7.1","3.6","2.1","1.4",".",".",".",".",".",".",".",".","."
"Spec Topics in Mass Comm","176
001","19","3.316","26.3","15.8","52.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mass Communication","201
001","328","3.546","51.2","21.3","20.4","3.4","1.8","0.6","0.9",".",".",".",".",".","0.3",".",".","."
"Mass Communication Practices","202
001","120","3.475","28.3","43.3","27.5",".",".",".","0.8",".",".",".",".",".",".",".",".","."
"","335
001","13","3.346","30.8","23.1","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","335
002","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
003","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
335","14","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","Course Total","48","3.625","50.0","29.2","18.8",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"","345
001","36","3.500","27.8","44.4","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345
002","34","3.632","47.1","32.4","20.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345
003","36","3.583","36.1","44.4","19.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","Course Total","106","3.571","36.8","40.6","22.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","401
001","10","3.722","60.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"Interpatn Contemp Affairs","404
001","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Nonfiction","405
001","17","3.765","58.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Magazines&Magazine Editing","417
001","21","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronc News-Web & Broadcast","419
001","12","3.708","66.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","445
001","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","445
002","20","3.816","60.0","35.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Develop Creatv Messages-Media","Course Total","35","3.765","54.3","40.0","2.9",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"","001
447","17","3.731","41.2","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","23.5","."
"","447
002","19","3.605","47.4","31.6","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Media Planning","Course Total","36","3.656","44.4","30.6","11.1","2.8",".",".",".",".",".",".",".",".",".",".","11.1","."
"Rsch&Stratgy-Strategc Campaign","001
449","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","475
021","9","3.611","55.6","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","559
001","74","2.932","14.9","20.3","27.0","20.3","13.5","4.1",".",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560
001","85","3.153","22.4","20.0","34.1","15.3","7.1","1.2",".",".",".",".",".",".",".",".",".","."
"Mass Comm & Political Behav","618
001","19","3.211","21.1","42.1","21.1","10.5",".",".","5.3",".",".",".",".",".",".",".",".","."
"Mass Com-Developing Nations","621
001","25","3.580","48.0","24.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and the Consumer","646
001","94","3.271","21.3","33.0","34.0","4.3","6.4","1.1",".",".",".",".",".",".",".",".",".","."
"Communication Rsch Methods","658
001","21","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literary Aspects of Journ","669
001","28","3.946","89.3","10.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technology for Social Change","670
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
022","16","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
030","70","3.986","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
050","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
053","22","3.952","86.4","9.1",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Topics-Mass Communication","Course Total","124","3.869","87.9","6.5","4.8",".",".",".",".",".",".",".",".",".","0.8",".",".","."
"","681
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
