"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"699","031","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","061","","20","3.316","20.0","20.0","55.0",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"812","062","","20","3.425","20.0","45.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","19","3.289","10.5","36.8","52.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","064","","23","3.196","8.7","26.1","60.9","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Obs & Gynecology","Course Total","","82","3.302","14.6","31.7","51.2","1.2",".",".",".",".",".",".",".",".",".",".","1.2","."
"910
Indep Rdg & Rsch-4th Yr Med","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gynecol Oncology Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"925","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"925","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"925","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"High Risk Obst Clrk-Meriter","Course Total","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"928
ObGyn Outptnt Clrk-LaCrosse","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"932","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"932","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"932","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Benign Gyn/UroGyn","Course Total","","3","***","","","","","","","","","","","","","","","",""
"933","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"933","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"933","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Benign Gynecology","Course Total","","3","***","","","","","","","","","","","","","","","",""
"954
Endocrinlgy-Reprodctve Phys","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"955
Responsible Conduct","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".",".",".","6.3","."
