"","COMMUNICATION SCI & DISORD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110","001","90","3.307","32.2","16.7","35.6","5.6","7.8",".",".",".",".",".",".",".","2.2",".",".","."
"Speech Science","201","001","85","3.382","47.1","22.4","14.1","7.1","2.4","7.1",".",".",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing","202","001","93","3.000","24.7","14.0","37.6","3.2","9.7","5.4","3.2","1.1",".",".",".",".",".","1.1",".","."
"Lang Devlp-Chld & Adolescnt","240","001","96","3.537","60.4","8.3","16.7","6.3","6.3","1.0",".",".",".",".",".",".","1.0",".",".","."
"Speech Acoustics,Perception","303","001","93","3.663","50.5","33.3","11.8","3.2",".",".",".",".",".",".",".",".","1.1",".",".","."
"Speech Pathology I","315","001","111","3.734","70.3","18.0","5.4","4.5",".","1.8",".",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","51","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manually Coded English-SL I","424","001","33","3.682","57.6","21.2","21.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","70","3.900","85.7","8.6","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Junior Honors","481","001","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neurl Mech Speech,Hear&Lang","503","001","47","3.766","68.1","23.4","4.3","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"","681","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","024","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","060","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","11","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Senior Honors Thesis","682","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","046","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang&Learn Disordrs-Childrn","703","001","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Swallowing Disorders","707","001","60","3.935","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fluency&Phonological Disorders","708","001","25","3.688","36.0","60.0",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Intro to Clinical Methods","712","001","33","3.970","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Schl Mthd,Procedr:Sp/Lang Path","714","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","003","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","007","13","3.885","92.3",".",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","790","008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Com Disorders","","Course Total","46","3.910","89.1","6.5","2.2","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Counseling in Audiology","834","001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Research Methods","835","001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Human Balance System","845","001","9","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 189 of 403",""
