"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","9","3.778","88.9",".",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","101","3.426","18.8","59.4","13.9","5.9","1.0","1.0",".",".",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","89","3.443","18.0","59.6","13.5","4.5","2.2",".",".","2.2",".",".",".",".",".",".",".","."
"Cont Issues-Social Welfare","275
001","55","3.918","94.5","1.8","1.8",".",".","1.8",".",".",".",".",".",".",".",".",".","."
"","400
006","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
007","14","3.783","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
400","12","3.856","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
009","9","3.895","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
010","15","3.940","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
011","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
016","13","3.737","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
017","12","3.950","75.0","8.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","400
018","11","3.850","81.8",".",".","9.1",".",".",".",".",".",".",".",".","9.1",".",".","."
"","400
019","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","020
400","9","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr I","Course Total","118","3.861","74.6","19.5","2.5","0.8",".",".",".",".",".",".",".",".","2.5",".",".","."
"","440
001","79","3.962","92.4","7.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
005","32","3.578","40.6","40.6","15.6",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"","440
006","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac I:Foundatn-Generalst Prac","Course Total","120","3.894","76.7","18.3","4.2",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"","441
001","78","3.987","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
002","16","3.531","43.8","37.5","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","003
441","16","3.781","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
004","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Prac II: Individls, Fam, Grps","Course Total","118","3.898","81.4","14.4","1.7","1.7","0.8",".",".",".",".",".",".",".",".",".",".","."
"Alcohol & Other Drug Abuse","001
453","148","3.374","39.2","27.7","16.2","8.8","3.4","4.1",".","0.7",".",".",".",".",".",".",".","."
"Small Groups-Soc Work Pract","454
001","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Welfare","462
001","23","3.457","47.8","13.0","34.8",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"Family Violence","523
001","40","3.388","35.0","32.5","20.0","10.0",".",".","2.5",".",".",".",".",".",".",".",".","."
"Homelessness: Service Learning","578
001","11","3.091","36.4","18.2","18.2","18.2",".",".","9.1",".",".",".",".",".",".",".",".","."
"","579
001","11","4.000","36.4",".",".",".",".",".",".","63.6",".",".",".",".",".",".",".","."
"","002
579","14","3.857","92.9",".",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Social Work","Course Total","25","3.889","68.0",".",".",".","4.0",".",".","28.0",".",".",".",".",".",".",".","."
"","605
001","37","3.757","51.4","40.5","2.7",".",".",".",".",".",".",".",".",".","5.4",".",".","."
"","605
002","25","3.540","40.0","40.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","605
003","18","3.722","50.0","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Field of Social Work","Course Total","80","3.679","47.5","41.3","6.3","1.3","1.3",".",".",".",".",".",".",".","2.5",".",".","."
"","606
001","27","3.537","33.3","40.7","25.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
606","24","3.583","33.3","54.2","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Social Policy","Course Total","51","3.559","33.3","47.1","17.6","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Social Wrk with Small Group","624
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethnic and Racial Groups","640
001","86","3.860","79.1","18.6","1.2",".",".","1.2",".",".",".",".",".",".",".",".",".","."
"Issues in Dev. Disabilities","644
001","19","3.694","84.2","5.3","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
