"REHAB PSYCH & SPECIAL EDU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","",""
"Issues in Special Education","200
001","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","90","3.894","90.0","6.7","1.1","1.1",".",".","1.1",".",".",".",".",".",".",".",".","."
"","300
002","87","3.820","74.7","16.1","4.6","3.4",".",".",".",".",".",".",".",".","1.1",".",".","."
"Individls with Disabilities","Course Total","177","3.858","82.5","11.3","2.8","2.3",".",".","0.6",".",".",".",".",".","0.6",".",".","."
"Behav Anal:Person-Disabilty","330
001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tching Math in Inclusive Set","365
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Tching Functional Skills","402
001","24","3.813","91.7","4.2",".",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"Adol. Lit. for Stdts with Dis","403
001","28","3.946","92.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics in Special Ed","405
003","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnosis and Assessment","464
001","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diversity in Special Education","466
001","37","3.932","86.5","13.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Stdt Teaching Seminar","467
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sp Ed Student Teaching: MC-EA","477
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Foundatn","500
001","65","3.669","49.2","43.1","4.6","1.5",".","1.5",".",".",".",".",".",".",".",".",".","."
"","501
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
002","12","3.875","91.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Applcatn","Course Total","28","3.946","96.4",".",".","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Bio,Psych,&Voc Aspt-Disabil","505
001","53","3.925","88.7","7.5","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessmnt Adults-Disablties","540
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychosoc Asp-Chrnc Ill&Disabl","560
001","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
019","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","020
630","28","3.918","92.9","3.6",".",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","630
021","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
022","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
023","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","64","3.962","96.9","1.6",".",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"","690
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
022","7","",".",".",".",".",".",".",".","71.4",".",".",".","28.6",".",".",".","."
"","690
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","17","",".",".",".",".",".",".",".","76.5",".",".",".","17.6",".",".","5.9","."
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr: Rehab Psych Research","700
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 77 of 403"
