"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"Cnsmr SelfCare&OverCountrDrugs","305
001","57","2.851","14.0","15.8","28.1","24.6","10.5","7.0",".",".",".",".",".",".",".",".",".","."
"Pharmacy Practice Experience I","425
001","127","3.976","96.1","3.1","0.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computr Applic Phmcy Pract","470
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","490
002","21","3.810","95.2",".",".",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"Intro-Phm Prac Experience III","525
033","135","3.930","94.1","3.7","0.7",".","0.7",".","0.7",".",".",".",".",".",".",".",".","."
"Fluid & Electrolyte Therapy","550
001","84","3.652","45.2","34.5","11.9","2.4",".",".",".","6.0",".",".",".",".",".",".",".","."
"","553
001","34","3.779","61.8","32.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","553
002","33","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","553
003","34","3.750","58.8","32.4","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","553
004","34","3.838","76.5","17.6","2.9","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills I","Course Total","135","3.807","67.4","27.4","4.4","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy I","555
001","135","3.519","43.0","28.1","19.3","8.9","0.7",".",".",".",".",".",".",".",".",".",".","."
"Hlth Sys Pharm Analysis & Inf","617
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","653
001","35","3.786","65.7","25.7","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","653
002","34","3.824","70.6","26.5",".","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","653
003","35","3.729","60.0","28.6","8.6","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","004
653","29","3.690","55.2","31.0","10.3","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills III","Course Total","133","3.759","63.2","27.8","6.8","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy III","655
001","133","3.165","12.0","34.6","31.6","18.0","3.8",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Therapeutics","670
001","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Academic Pharmacy I","671
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Geriatrics","676
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminars in Cardiology","677
001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
076","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
085","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
086","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
088","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
089","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
090","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","26","3.958","92.3",".",".","3.8",".",".",".",".",".",".",".",".",".",".","3.8","."
"","003
740","29","3.776","75.9","13.8","3.4","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"","740
004","23","3.761","69.6","13.0","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","52","3.769","73.1","13.5","9.6","1.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"","741
003","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
004","29","3.914","82.8","17.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","54","3.926","85.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
003","78","3.763","70.5","14.1","12.8","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","Page 391 of 403",""
