"MED","","","","","","","","","","","","","","","","","","",""
"MEDICAL HISTORY AND BIOETH Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","",""
"Bodies, Diseases, and Healers","212
001","58","3.302","20.7","25.9","46.6","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"Justice and Health Care","505
001","23","3.652","43.5","47.8","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Health, Disease & Healing I","507
001","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enivr&Hlth-Global Perspective","513
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Medical Technology & the Body","526
001","19","3.553","42.1","26.3","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eth & Reg Iss-Clin Investigatn","545
001","15","3.400","13.3","53.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Tech in Hist Persp","550
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Internl Hlth & Global Society","553
001","19","3.471","15.8","57.9","10.5","5.3",".",".",".","5.3",".",".",".",".","5.3",".",".","."
"Greek & Roman Med & Phcy","561
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in History of Med","668
001","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Studies - Environment & Health","713
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Medical Technology & the Body","726
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Studies in Med Ethics","734
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Int'l Health & Global Society","753
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Studies-Medical Hist","919
001","6","3.700","33.3","50.0",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Advanced Independent Study","999
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"MED HIST
452","Dept. Total","177","3.493","31.1","36.7","26.0","3.4",".",".",".","1.7",".",".",".",".","1.1",".",".","."
