"","POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","",""
"Intro to SAS Prog for Pop Hlth","451","001","","19","3.794","63.2","15.8","10.5",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"Air Pollution&Human Health","502","001","","35","3.600","48.6","28.6","17.1","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"QI in Low Resource Settings","504","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biostats for Pop Hlth","551","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internl Hlth & Global Society","553","001","","24","3.646","45.8","37.5","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Toxicology I","625","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations-Global Hlth Pract","640","010","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650","063","","12","3.667","58.3","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650","073","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","650","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","17","3.644","58.8","11.8","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Regression Mthds-Pop Hlth","651","001","","18","3.676","55.6","16.7","22.2",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Communicating Public Hlth Info","660","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Preven of Overweight & Obesity","664","002","","13","3.615","53.8","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","699","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual-Hlth Care:Eval&Assurnc","703","001","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Translat'l & Outcomes Research","709","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership Med & PH","712","001","","89","",".",".",".",".",".",".",".",".",".","98.9",".",".",".",".",".","."
"Prin-Population Med&Epidemiol","717","001","","175","",".",".",".",".",".",".",".","97.1",".",".",".",".","1.1",".","0.6","1.1"
"International Health Systems","718","001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Hlth: Principles&Pract","780","001","","49","3.990","98.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","781","001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","781","003","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","781","004","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro to Public Health Seminar","","Course Total","","47","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","787","002","","15","3.767","66.7","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","787","004","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"MPH Field Experience Seminar","","Course Total","","34","3.868","79.4","17.6",".","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Public Health Field Experience","788","001","","29","3.907","37.9","6.9","3.4",".",".",".",".",".",".",".",".",".","51.7",".",".","."
"Biol Basis-Population Health","794","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles-Populatn Health Sci","795","002","","18","3.765","66.7","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".","5.6","."
"Introduction to Epidemiology","797","001","","80","3.557","38.8","32.5","27.5",".",".",".",".",".",".",".",".",".","1.3",".",".","."
"Monitoring Population Health","803","001","","14","3.923","78.6","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Epidemiologic Methods 4","805","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Research Seminar","820","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","","Page 371 of 403",""
