"POLITICAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"501
Ancient&Medvl West Thought","001","","26","3.365","26.9","30.8","30.8","11.5",".",".",".",".",".",".",".",".",".",".",".","."
"506
Topics in Political Philos","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"519
African Amer Political Theory","001","","7","3.429","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"565
Hist-Amer Political Thought","001","","15","3.167","13.3","46.7","20.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".","."
"601
Prosem: Topics in Poli Sci","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630
Latin-American Politics","001","","21","3.450","33.3","38.1","14.3",".","9.5",".",".",".",".",".",".",".","4.8",".",".","."
"642
Politcl Power-Contemp China","001","","31","2.950","19.4","29.0","19.4","12.9","6.5","3.2","6.5","3.2",".",".",".",".",".",".",".","."
"643
Women&Politics-Global Context","001","","23","3.432","34.8","21.7","30.4","8.7",".",".",".",".",".",".",".",".","4.3",".",".","."
"656
Electorl Systm&Representatn","001","","11","3.227","36.4","27.3","9.1","18.2",".","9.1",".",".",".",".",".",".",".",".",".","."
"657
Comparative Political Culture","001","","17","3.344","23.5","29.4","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".","5.9"
"665
Israeli Politics and Society","001","","22","3.167","13.6","22.7","18.2","9.1",".","4.5",".",".",".",".",".",".",".",".","31.8","."
"681","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","9","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"685
Honors Research Internship","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","099","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","3.900","90.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"702
Intl Political Economy","001","","6","3.500","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".","33.3",".",".","."
"800
Poli Sci-Discipline&Profession","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812
Intro Stats in Political Sci","001","","11","3.611","36.4","27.3","18.2",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"814
Social Identities: Def&Measure","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"817
Empirical Methods Poli Inquiry","001","","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"818
Maximum Likelihood Estimation","001","","12","3.542","25.0","58.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"826
The Legislative Process","001","","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"839
Methods of Political Theory","001","","8","3.375","62.5","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
