"PHM","","","","","","","","","","","","","","","","","","","","","",""
"PHARMACY","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"726
PHARMACY","","","","","","","","","","","","","","","","","","","","","",""
"Drug Interactions","635
001","14","3.821","64.3","35.7",".",".",".",".",".",".","",".",".",".","",".","",".",".",".","."
"Nonprescription Medications","638
001","131","3.215","9.2","39.7","34.4","13.0","1.5",".",".",".","",".",".",".","",".","","2.3",".",".","."
"Phmceut","645
001","138","3.715","65.2","20.3","10.1","2.2",".","0.7","0.7",".","","0.7",".",".","",".","",".",".",".","."
"Biotech&Phmacogenomics","","","","","","","","","","","","","","","","","","","","","",""
"Research Ethics","800
001","26","3.769","80.8","15.4",".",".",".",".","3.8",".","",".",".",".","",".","",".",".",".","."
"PHARMACY
726","Dept. Total","309","3.518","42.7","28.8","19.1","6.5","0.6","0.3","0.6","",".","0.3",".","",".","",".","1.0",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"726
PHARMACY","","","","","","","","","","","","","","","","","","","","","",""
"Special","","2","0.000",".",".",".",".",".",".","50.0","",".","50.0",".","",".","",".",".",".",".","."
"Graduate","","27","3.778","81.5","14.8",".",".",".",".","3.7","",".",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","1","2.500",".",".",".","100.0",".",".",".","",".",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","279","3.510","39.4","30.5","21.1","6.8","0.7","0.4",".","",".",".",".","",".","",".","1.1",".",".","."
"Professionals","","280","3.506","39.3","30.4","21.1","7.1","0.7","0.4",".","",".",".",".","",".","",".","1.1",".",".","."
"","Dept. Total","309","3.518","42.7","28.8","19.1","6.5","0.6","0.3","0.6","",".","0.3",".","",".","",".","1.0",".",".","."
