"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"","125
001","25","3.705","52.0","28.0","4.0",".","4.0",".",".","8.0",".",".",".",".",".",".",".","4.0"
"","002
125","91","3.213","24.2","30.8","19.8","15.4","4.4","3.3",".","2.2",".",".",".",".",".",".",".","."
"","125
003","187","3.008","15.5","35.3","23.0","8.0","11.2","3.7","3.2",".",".",".",".",".",".",".",".","."
"Amer Soc: How It Really Works","Course Total","303","3.110","21.1","33.3","20.5","9.6","8.6","3.3","2.0","1.3",".",".",".",".",".",".",".","0.3"
"Social Problems","130
001","28","3.714","78.6","7.1","3.6","7.1",".","3.6",".",".",".",".",".",".",".",".",".","."
"Criminal Justice in America","131
001","88","2.908","9.1","26.1","28.4","17.0","13.6","4.5",".",".",".",".",".",".","1.1",".",".","."
"","134
001","189","3.087","14.8","30.7","30.2","15.3","5.8","1.6","1.6",".",".",".",".",".",".",".",".","."
"","134
002","181","3.223","22.7","27.1","33.1","8.3","6.1","1.1","0.6","0.6",".",".",".",".",".",".","0.6","."
"Am Racial&Ethnic Minorities","Course Total","370","3.154","18.6","28.9","31.6","11.9","5.9","1.4","1.1","0.3",".",".",".",".",".",".","0.3","."
"","138
001","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
002","69","3.860","84.1","7.2","5.8",".",".","1.4",".",".",".",".",".",".","1.4",".",".","."
"","138
003","21","3.881","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Sociology of Gender","Course Total","105","3.851","80.0","12.4","5.7",".",".","1.0",".",".",".",".",".",".","1.0",".",".","."
"Intro-Community & Envir Soc","140
001","48","3.181","22.9","27.1","25.0","12.5","8.3","2.1",".",".",".",".",".",".",".",".",".","2.1"
"Hum Sexuality-Soc,Psych Iss","160
001","143","2.715","7.7","16.1","27.3","21.0","22.4","3.5","1.4",".",".",".",".",".","0.7",".",".","."
"Population Problems","170
001","379","3.450","42.2","28.2","13.7","12.1","2.6","0.5","0.5",".",".",".",".",".",".",".",".","."
"","199
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","166
199","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"Directed Study","Course Total","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"Survey of Sociology","210
001","138","3.153","18.8","35.5","24.6","9.4","7.2","1.4","2.2","0.7",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211
001","72","3.029","16.7","20.8","29.2","12.5","18.1",".",".",".",".",".",".",".","2.8",".",".","."
"Ethnic Movements in U.S.","220
001","73","3.295","30.1","32.9","20.5","6.8","6.8","1.4","1.4",".",".",".",".",".",".",".",".","."
"Contemp Chinese Society","225
001","24","3.548","41.7","29.2","12.5",".",".","4.2",".","4.2",".",".",".",".","4.2",".",".","4.2"
"SE Asia:Vietnam to Philipns","244
001","14","3.250","7.1","50.0","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","248
001","10","3.550","50.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","26","3.083","7.7","30.8","30.8","15.4","7.7",".",".",".",".",".",".",".","7.7",".",".","."
"","320
008","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
013","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Practicum","Course Total","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Meth-Sociological Inquiry","357
001","113","3.350","23.9","40.7","21.2","9.7","4.4",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","360
001","78","2.905","14.1","21.8","24.4","14.1","15.4","3.8","1.3","2.6","1.3",".",".",".","1.3",".",".","."
"Stats for Sociologists II","361
001","20","3.475","35.0","35.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Computing-Sociologcl Resrch","365
001","9","3.875","66.7","22.2",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Intro-Mathematical Sociology","375
001","14","3.615","57.1","7.1","21.4","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"The Legal Profession","415
001","9","3.278","66.7","11.1",".",".","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"Criminology","441
001","147","3.231","39.5","12.2","23.1","8.8","12.2","2.0","0.7","0.7",".",".",".",".","0.7",".",".","."
"Juvenile Delinquency","446
001","55","3.247","36.4","14.5","23.6","16.4","7.3","1.8",".",".",".",".",".",".",".",".",".","."
"","475
001","31","2.879","6.5","22.6","22.6","25.8","16.1",".",".","3.2",".",".",".",".","3.2",".",".","."
"","475
002","13","3.577","61.5","23.1","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","475
003","17","2.029",".","5.9","5.9","23.5","47.1","11.8","5.9",".",".",".",".",".",".",".",".","."
"","475
004","28","3.214","21.4","35.7","25.0","14.3",".",".","3.6",".",".",".",".",".",".",".",".","."
