"","GENDER AND WOMENS STUDIE Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"Gender, Women & Society-Global","102","001","225","3.659","48.9","37.8","9.3","2.2","0.4","0.4",".",".",".",".",".",".","0.9",".",".","."
"Womens Bodies-Hlth&Disease","103","001","312","3.631","54.2","26.6","13.8","2.9","2.2","0.3",".",".",".",".",".",".",".",".",".","."
"First Year Topics Seminar, Soc","120","001","19","3.474","31.6","42.1","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Gender and Sexuality","130","001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro to Black Women's Studies","221","001","11","3.455","45.5","36.4","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"Intro-Black Women Writers","222","001","28","3.500","42.9","28.6","14.3","3.6","7.1",".",".",".",".",".",".",".",".","3.6",".","."
"Honors Seminar in GWS","280","001","18","3.667","55.6","27.8","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gender, Women & the Humanities","310","002","30","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Black Women in America","324","001","19","3.211","36.8","15.8","21.1","5.3","21.1",".",".",".",".",".",".",".",".",".",".","."
"Gender/Class/Race/Ethn(Hum)","330","001","27","3.635","44.4","40.7","7.4",".","3.7",".",".",".",".",".",".",".",".",".","3.7","."
"Latinas: Self Ident&Social Chg","332","001","11","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Black Feminisms","333","001","24","3.229","20.8","45.8","12.5","8.3","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"Topics in LGBTQ Sexuality","340","001","27","3.704","55.6","37.0","3.7",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Women&Gender in US Since 1870","354","001","31","3.402","25.8","35.5","25.8","9.7",".",".",".",".",".",".",".",".","3.2",".",".","."
"Disability and Gender in Film","371","001","36","3.771","69.4","22.2","2.8",".",".","2.8",".","2.8",".",".",".",".",".",".",".","."
"Contemp Fem Theatre&Critcsm","415","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women:Cross-Soc Perspective","420","001","31","3.833","74.2","12.9","9.7",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"Constructns-Gender in Media","421","001","37","3.833","75.7","16.2","2.7",".","2.7",".",".","2.7",".",".",".",".",".",".",".","."
"Women's Intl Human Rights","424","001","38","3.842","76.3","18.4","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Global Feminisms","427","001","27","3.407","44.4","11.1","33.3","3.7","7.4",".",".",".",".",".",".",".",".",".",".","."
"The Body in Theory","445","001","38","3.579","36.8","47.4","13.2",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Asian Amer Women Writers","464","001","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Feminism and Folklore","468","001","22","3.675","68.2","13.6","4.5",".",".",".","4.5",".",".",".",".",".","9.1",".",".","."
"Sexuality,Modernity&Soc Change","519","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Psychology of Women","522","001","27","2.942","7.4","29.6","29.6","11.1","14.8","3.7",".","3.7",".",".",".",".",".",".",".","."
"Biology and Gender","530","001","27","3.870","77.8","18.5","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Women & Health","533","001","23","3.523","52.2","13.0","21.7",".","8.7",".",".",".",".",".",".",".","4.3",".",".","."
"Capstone Smr in Gender & Wm St","640","001","19","3.658","47.4","42.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Women&Politics-Global Context","643","001","11","3.318","27.3","36.4","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis I","681","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Study-Gen & Women's Study","880","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Feminist Political Theory","933","001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 318 of 403",""
