"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"","699
049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
082","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","22","3.962","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ldrshp in Adv Practc Nursing I","704
001","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nursing Research","706
001","","34","3.956","91.2","8.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indep Field Stdy-Clinic Nsg","719
038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Prac Nursing Thry: Adults","722
001","","20","3.800","75.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","726
020","","20","3.700","75.0","10.0",".","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","726
040","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","726
060","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations APN Clin Pract I","Course Total","","37","3.757","70.3","21.6",".","5.4","2.7",".",".",".",".",".",".",".",".",".",".","."
"","728
010","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","020
728","","7","3.571","85.7",".",".",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"","728
021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","728
040","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","728
060","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","728
061","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","728
070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"APN Clin Appl & Role Dev I","Course Total","","37","3.807","81.1","8.1","8.1",".",".","2.7",".",".",".",".",".",".",".",".",".","."
"Adv Prac Nrsg Thry-Famly&Child","741
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746
001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prac Nrsg Thry-Psychiatric","751
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Leadership&Org Decision-Making","772
002","","30","3.948","90.0","3.3","3.3",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Nursing Education Practicum","787
052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research Practicum","798
038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Adv Rsch Design & Methods I","803
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Rsch Design & Methods II","804
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Pathophysiology","811
001","","25","3.580","28.0","60.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Knowledge Developmt in Nursing","815
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar in Nursing Research","816
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","826
020","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","826
060","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations APN Clin Pract III","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
828","","9","3.962","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","828
010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","828
020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","828
060","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Leadership III","Course Total","","21","3.932","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prevention Science","880
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2015","","","","","","","","","","","","","","","","","","","Page 385 of 403",""
