"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120
001","271","3.039","20.3","14.8","36.5","13.7","10.7","2.6","0.4",".",".",".",".",".","1.1",".",".","."
"","125
001","25","3.771","60.0","28.0","8.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","002
125","182","3.048","19.2","21.4","24.7","18.7","10.4","2.7",".","0.5",".",".",".",".","2.2",".",".","."
"","003
125","189","3.205","26.5","27.0","24.3","12.7","5.3","3.2","0.5",".",".",".",".",".",".",".","0.5","."
"Amer Soc: How It Really Works","Course Total","396","3.159","25.3","24.5","23.5","14.6","7.3","2.8","0.3","0.5",".",".",".",".","1.0",".","0.3","."
"Criminal Justice in America","131
001","82","2.963","19.5","19.5","23.2","17.1","18.3","1.2","1.2",".",".",".",".",".",".",".",".","."
"","134
001","190","3.444","30.5","37.4","26.3","2.6","2.1",".","0.5",".",".",".",".",".","0.5",".",".","."
"","002
134","186","3.675","61.3","24.7","9.1","1.6","2.2",".","1.1",".",".",".",".",".",".",".",".","."
"","134
003","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","Course Total","392","3.570","47.4","30.4","17.1","2.0","2.0",".","0.8",".",".",".",".",".","0.3",".",".","."
"The Sociology of Gender","138
001","82","3.244","30.5","26.8","14.6","17.1","11.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","140
001","19","3.289","26.3","36.8","26.3",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160
001","138","2.715","9.4","18.8","26.1","18.8","18.8","2.9","4.3","0.7",".",".",".",".",".",".",".","."
"Population Problems","170
001","188","3.213","26.6","26.1","22.3","15.4","8.5","1.1",".",".",".",".",".",".",".",".",".","."
"","199
066","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199
094","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
171","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210
001","108","3.398","39.8","33.3","12.0","7.4","3.7","1.9","1.9",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211
001","83","2.277","6.0","14.5","12.0","14.5","31.3","18.1","3.6",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","59","3.415","27.1","45.8","18.6","6.8",".",".","1.7",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244
001","9","3.000","22.2","33.3","22.2","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252
001","24","3.396","25.0","45.8","16.7","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","36","3.486","33.3","41.7","19.4",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","357
001","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
002","20","3.600","45.0","40.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","003
357","18","3.194","38.9","11.1","11.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".","."
"","357
004","17","3.294","11.8","41.2","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","005
357","18","3.139","33.3","11.1","16.7","27.8","11.1",".",".",".",".",".",".",".",".",".",".","."
"","357
006","14","3.250","21.4","35.7","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","008
357","22","3.136","18.2","27.3","31.8","18.2",".","4.5",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","118","3.305","29.7","29.7","18.6","17.8","3.4","0.8",".",".",".",".",".",".",".",".",".","."
"","001
360","29","2.690","10.3","17.2","31.0","17.2","13.8","3.4","6.9",".",".",".",".",".",".",".",".","."
"","360
002","27","2.907","18.5","33.3","25.9",".","7.4","7.4","7.4",".",".",".",".",".",".",".",".","."
"","003
360","33","3.227","24.2","27.3","24.2","18.2","6.1",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","89","2.955","18.0","25.8","27.0","12.4","9.0","3.4","4.5",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361
001","24","3.292","37.5","16.7","29.2","8.3","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"Computing-Sociologcl Resrch","365
002","16","3.400","31.3","31.3","12.5","18.8",".",".",".",".",".",".",".",".","6.3",".",".","."
"Intro-Mathematical Sociology","375
001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Populatn Probs-Honors","380
001","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Processes-Deviant Behavior","421
001","94","3.096","30.9","20.2","20.2","9.6","12.8","5.3","1.1",".",".",".",".",".",".",".",".","."
"Social Prob-Aging & Old Age","422
001","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
