"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"362
Development of Young Child","001","","170","3.641","59.4","21.2","11.2","5.9","1.8","0.6",".",".",".",".",".",".",".",".",".","."
"363
Develp: Adolescence-Old Age","001","","169","3.327","37.3","20.7","14.8","3.0","8.9","4.1",".",".",".",".",".",".","11.2",".",".","."
"425
Rsch Meth in Hum Devel&Fam St","001","","31","3.050","12.9","32.3","12.9","29.0","9.7",".",".",".",".",".",".",".","3.2",".",".","."
"469
Family&Com Influences-Child","001","","30","3.683","70.0","13.3","6.7","3.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"471
Parent-Child Relations","001","","30","3.583","50.0","33.3","6.7","3.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"474
Racial Ethnic Families in U.S.","001","","30","3.667","70.0","20.0",".","6.7",".",".","3.3",".",".",".",".",".",".",".",".","."
"478
Dev Blk Child&Fam: Rsch&Pol","001","","20","3.850","80.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"501","008","","39","3.808","79.5","2.6","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","011","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"501","039","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","55","3.872","85.5","1.8","12.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"516
Family Stress and Coping","001","","33","3.797","81.8","6.1","3.0","3.0",".","3.0",".",".",".",".",".",".","3.0",".",".","."
"517
Couple Relationships","001","","30","3.833","86.7","6.7","3.3",".",".","3.3",".",".",".",".",".",".",".",".",".","."
"535
Family Perspctv-Policymakng","001","","28","3.607","60.7","28.6","3.6",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"601","001","","26","3.916","80.8","7.7","3.8",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"601","011","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","33","3.934","84.8","6.1","3.0",".",".",".",".",".",".",".",".",".","6.1",".",".","."
"650
Parent Educ & Support Programs","001","","32","3.609","65.6","9.4","18.8",".","3.1","3.1",".",".",".",".",".",".",".",".",".","."
"663
Developmental & Fam Assessment","001","","24","3.854","79.2","16.7",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"664
Prosmr:Human Dev & Fam Studies","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"725
Theory & Issues-Human Dev","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"766","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"766","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Iss-Family Living","Course Total","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"880
Prevention Science","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","14","",".",".",".",".",".",".",".","57.1",".",".",".","28.6","7.1",".","7.1","."
"999
Independent Study","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","Page 141 of 403",""
