"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"","699
042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
104","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","812
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
002","","6","3.400",".","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"","003
812","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
004","","9","3.444",".","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
812","","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
006","","9","3.444","11.1","66.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
007","","11","3.364","9.1","54.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Anesthesia","Course Total","","52","3.461","13.5","63.5","21.2",".",".",".",".",".",".",".",".",".",".",".","1.9","."
"Lab Rsch-Anesthesiology-CSC","910
045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","919
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Anesthes Clerkship-CSC","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
