"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"110","001","","128","3.346","41.4","21.9","17.2","6.3","10.9","0.8","0.8","0.8",".",".",".",".",".",".",".","."
"110","002","","9","3.667","77.8",".",".","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Communicative Dis","Course Total","","137","3.368","43.8","20.4","16.1","7.3","10.2","0.7","0.7","0.7",".",".",".",".",".",".",".","."
"201
Speech Science","001","","103","2.714","7.8","25.2","25.2","20.4","8.7","7.8","4.9",".",".",".",".",".",".",".",".","."
"202
Normal Aspects of Hearing","001","","121","3.314","49.6","6.6","24.0","6.6","9.1","3.3","0.8",".",".",".",".",".",".",".",".","."
"240
Lang Devlp-Chld & Adolescnt","001","","153","3.958","96.1","1.3","1.3","0.7","0.7",".",".",".",".",".",".",".",".",".",".","."
"303
Speech Acoustics,Perception","001","","86","3.651","69.8","7.0","15.1","4.7","2.3",".","1.2",".",".",".",".",".",".",".",".","."
"315
Speech Pathology I","001","","111","3.568","36.9","45.9","13.5","2.7",".","0.9",".",".",".",".",".",".",".",".",".","."
"371
PreClin Obs-Chldrn & Adults","001","","53","3.877","75.5","24.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"424
Manually Coded English-SL I","001","","42","3.833","69.0","28.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"440
Child Language Disorders","001","","77","3.896","88.3","7.8","2.6",".",".","1.3",".",".",".",".",".",".",".",".",".","."
"455
Topics in Com Dis","001","","16","3.781","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"503
Neurl Mech Speech,Hear&Lang","001","","53","3.830","73.6","18.9","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","10","",".",".",".",".",".",".",".",".",".",".",".","90.0","10.0",".",".","."
"682
Senior Honors Thesis","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"702
Introduction to Graduate Study","001","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Lang&Learn Disordrs-Childrn","001","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"707
Swallowing Disorders","001","","35","3.976","94.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"708
Fluency&Phonological Disorders","001","","34","3.691","41.2","55.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"714
Schl Mthd,Procedr:Sp/Lang Path","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","Page 185 of 403",""
