"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICAL SCIENCES - MED SCH","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","","","","","","",""
"","699
034","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
040","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","3","***","","","","","","","","","","","","","","","","","","","","",""
"Integrated Cardiovascular Sys","706
001","173","3.439","30.6","28.3","39.3","1.7",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"Integrated Renal System","709
001","172","3.376","33.7","23.8","30.8","7.0","1.7",".","","1.2",".",".","",".",".","",".","",".","",".","0.6","1.2"
"Integrated Respiratory System","715
001","173","3.287","31.8","15.0","38.2","8.1","5.2",".","","0.6",".",".","",".",".","",".","",".","",".",".","1.2"
"Foundations of Medicine 1","751
001","173","3.431","34.7","21.4","39.9","3.5","0.6",".","",".",".",".","",".",".","",".","",".","",".",".","."
"Foundations of Medicine 2","755
001","172","3.456","36.0","23.3","36.6","4.1",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"Patient, Doctor & Society 1","800
001","174","",".",".",".",".",".",".","",".","100.0",".","",".",".","",".","",".","",".",".","."
"Patient, Doctor & Society 3","806
001","171","3.626","41.5","44.4","12.3","1.2","0.6",".","",".",".",".","",".",".","",".","",".","",".",".","."
"MED SC-M
622","Dept. Total","1211","3.429","29.9","22.2","28.1","3.6","1.2","",".","0.2","14.4","",".",".","",".","",".","",".",".","0.1","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","173","",".",".",".",".",".","",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1030","3.430","34.9","26.0","32.6","4.3","1.4","",".","0.3","0.1","",".",".","",".","",".","",".",".","0.1","0.4"
"Prof Yr 3","","6","3.250","16.7","16.7","66.7",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","1209","3.429","29.8","22.2","28.1","3.6","1.2","",".","0.2","14.4","",".",".","",".","",".","",".",".","0.1","0.3"
"","Dept. Total","1211","3.429","29.9","22.2","28.1","3.6","1.2","",".","0.2","14.4","",".",".","",".","",".","",".",".","0.1","0.3"
