"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","173","2.836","22.0","4.0","31.8","7.5","31.2","1.7","0.6",".",".",".",".",".",".",".","0.6","0.6"
"","100","002","157","2.772","21.0","6.4","26.8","3.2","38.9","3.2",".",".",".",".",".",".","0.6",".",".","."
"General Anthropology","","Course Total","330","2.806","21.5","5.2","29.4","5.5","34.8","2.4","0.3",".",".",".",".",".","0.3",".","0.3","0.3"
"Archaeology & Prehist World","102","001","125","2.650","13.6","12.8","16.8","16.0","34.4","2.4","2.4","0.8",".",".",".",".",".",".","0.8","."
"","104","001","350","3.020","27.1","8.3","34.9","4.3","23.1","1.1","0.6","0.3",".",".",".",".",".",".",".","0.3"
"","104","002","391","2.896","19.2","13.0","34.8","6.1","21.5","3.1","1.8",".",".",".",".",".","0.3",".",".","0.3"
"Cult Anthro&Human Diversity","","Course Total","741","2.955","22.9","10.8","34.8","5.3","22.3","2.2","1.2","0.1",".",".",".",".","0.1",".",".","0.3"
"Principles - Biological Anthro","105","001","300","3.226","35.7","26.7","15.3","9.3","5.3","2.3","4.0",".",".",".",".",".",".",".",".","1.3"
"Principles of Archaeology","112","001","105","3.471","55.2","11.4","17.1","1.9","9.5","1.0","1.0","1.0","1.0",".",".",".",".",".",".","1.0"
"Fr/Soph Seminar in Anthro","120","001","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","27","3.648","55.6","22.2","18.5","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","46","3.065","32.6","4.3","39.1","4.3","15.2","2.2","2.2",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","19","2.868","21.1","26.3","21.1","10.5","10.5",".","10.5",".",".",".",".",".",".",".",".","."
"","310","001","35","3.486","45.7","22.9","14.3","17.1",".",".",".",".",".",".",".",".",".",".",".","."
"","310","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Archaeology","","Course Total","40","3.550","52.5","20.0","12.5","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Archaeological Chemistry","311","001","10","3.722","70.0",".","10.0","10.0",".",".",".",".",".",".",".",".","10.0",".",".","."
"Emergence of Human Culture","321","001","75","2.418","17.3","2.7","28.0","9.3","21.3","6.7","12.0","1.3",".",".",".",".",".",".",".","1.3"
"Topics in Ethnology","330","001","12","3.250","50.0","8.3","25.0",".",".",".","8.3",".",".",".",".",".","8.3",".",".","."
"Indians-Western Great Lakes","353","001","15","3.500","53.3","13.3","13.3",".","13.3",".",".",".",".",".",".",".","6.7",".",".","."
"Elementary Quechua","361","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Yucatec Maya","376","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","410","001","6","3.583","66.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","410","002","43","2.767","20.9","11.6","16.3","20.9","23.3","4.7","2.3",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","","Course Total","49","2.867","26.5","12.2","14.3","18.4","22.4","4.1","2.0",".",".",".",".",".",".",".",".","."
"Primate Behavioral Ecology","458","001","78","3.282","38.5","16.7","25.6","6.4","10.3","2.6",".",".",".",".",".",".",".",".",".","."
"Ethnobotany","474","001","8","3.375","37.5","37.5",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","490","001","18","3.583","61.1","16.7","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","490","003","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","29","3.569","51.7","24.1","17.2",".","6.9",".",".",".",".",".",".",".",".",".",".","."
"Biology of Mind","619","001","52","3.078","15.4","26.9","36.5","7.7","5.8","5.8",".",".",".",".",".",".",".","1.9",".","."
"Primate Conservation","668","001","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","068","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems in Anthropology","690","001","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","084","1","***","","","","","","","","","",".",".",".",".",".",".","."
