"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"305
Cnsmr SelfCare&OverCountrDrugs","001","","128","2.691","10.9","13.3","28.9","15.6","22.7","7.8","0.8",".",".",".",".",".",".",".",".","."
"425
Pharmacy Practice Experience I","001","","137","3.909","88.3","9.5","1.5",".",".",".","0.7",".",".",".",".",".",".",".",".","."
"470
Computr Applic Phmcy Pract","001","","15","3.767","73.3","20.0",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"490
Select Topics-Pharmacy Prac","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"525
Intro-Phm Prac Experience III","033","","128","3.949","95.3","2.3","0.8",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"550
Fluid & Electrolyte Therapy","001","","87","3.454","34.5","28.7","31.0","4.6","1.1",".",".",".",".",".",".",".",".",".",".","."
"555
Pharmacotherapy I","001","","129","3.211","19.4","34.9","27.1","11.6","2.3","3.9",".","0.8",".",".",".",".",".",".",".","."
"611
Medical Imaging for Pharmacist","001","","11","3.636","63.6","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"617
Hlth Sys Pharm Analysis & Inf","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"655
Pharmacotherapy III","001","","134","2.974","12.7","25.4","31.3","20.1","6.7",".","3.7",".",".",".",".",".",".",".",".","."
"670
Veterinary Therapeutics","001","","46","3.976","97.8",".","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"671
Intro to Academic Pharmacy I","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"677
Seminars in Cardiology","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","17","3.966","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"740","003","","26","3.846","73.1","23.1","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"740","004","","26","3.712","61.5","23.1","11.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","","52","3.779","67.3","23.1","7.7","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"741","003","","20","3.947","85.0","10.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"741","004","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","","44","3.977","93.2","4.5",".",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"746
Intrdis Care-Chld/Spec Hlth Nd","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"760","003","","74","3.824","75.7","20.3",".","1.4","2.7",".",".",".",".",".",".",".",".",".",".","."
"760","004","","68","3.892","80.9","8.8","5.9",".",".",".",".",".",".",".",".",".","4.4",".",".","."
"760","104","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"760","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","124","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","","148","3.856","75.0","14.2","2.7","0.7","1.4",".",".",".",".",".",".",".","6.1",".",".","."
"764","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"764","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","","3","***","","","","","","","","","","","","","","","",""
"961
Conf:Rsch Workers Hosp Phm","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999
Advanced Independent Study","028","","8","3.917","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","Page 391 of 403",""
