"BUS","","","","","","","","","","","","","","","","","","",""
"RISK MANAGEMENT AND INSUR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300
001","189","2.798","7.4","23.8","21.7","23.8","18.0","4.8",".","0.5",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Property Risk Management","610
001","44","3.534","34.1","47.7","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Liability Risk Management","615
001","46","3.609","47.8","39.1","10.9",".",".",".","2.2",".",".",".",".",".",".",".",".","."
"Employee Benefits Managemnt","620
001","96","3.106","12.5","17.7","54.2","5.2","8.3",".",".","1.0",".",".",".",".","1.0",".",".","."
"Sustainbl, Envir&Soc Risk Mgmt","650
001","29","3.552","34.5","44.8","17.2","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Risk Mgmt","700
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Risk Management","710
030","50","3.530","30.0","46.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Risk Management","799
017","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
039","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","5","***","","","","","","","","","","","","","","","",""
"Read&Rsch-Risk Mgt&Ins Phd","999
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"R M I
241","Dept. Total","485","3.159","22.9","28.9","24.5","11.3","8.7","1.9","0.2","1.2",".",".",".","0.2","0.2",".",".","."
