"ECONOMICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Internatl Trade & Finance","464","001","108","2.903","18.5","16.7","32.4","10.2","16.7","1.9","3.7",".",".",".",".",".",".",".",".","."
"Intl Industrial Organizations","467","001","78","3.067","20.5","17.9","30.8","15.4","7.7","3.8",".",".",".",".",".",".","2.6","1.3",".","."
"Econ Grwth&Devlpmnt-SE Asia","473","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Agri & Econ Development-Africa","477","001","21","3.119","23.8","19.0","33.3","14.3","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"Economics of Transportation","502","001","30","3.083","30.0","10.0","36.7","6.7","10.0","6.7",".",".",".",".",".",".",".",".",".","."
"Markets with Frictions","503","001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Game Theory & Economic Anal","521","001","48","2.489","18.8","8.3","14.6","18.8","16.7","10.4","8.3","4.2",".",".",".",".",".",".",".","."
"Law and Economics","522","001","123","3.037","21.1","17.9","31.7","8.9","18.7","1.6",".",".",".",".",".",".",".",".",".","."
"Quant Mthds-Ag & Appl Econ","526","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Economics of Health Care","548","001","34","3.297","17.6","29.4","41.2","2.9","2.9",".",".",".",".",".",".",".",".","2.9","2.9","."
"","581","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","581","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Population Economics","623","001","9","3.278","11.1","55.6","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Housing Economics & Policy","641","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Population and Society","663","001","11","3.545","36.4","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Economics","671","001","20","3.150","20.0","35.0","20.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Mathematical Economics I","703","001","28","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Stats & Econometrics I","709","001","39","3.273","12.8","35.9","41.0","7.7",".",".",".","2.6",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","711","001","37","3.250","16.2","24.3","51.4","2.7","2.7",".",".","2.7",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","712","001","26","3.271","15.4","30.8","34.6","11.5",".",".",".","3.8",".",".",".",".","3.8",".",".","."
"Econometric Methods","715","001","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Applied Econometrics","718","001","31","3.569","25.8","54.8","12.9",".",".",".",".","6.5",".",".",".",".",".",".",".","."
"Monetary & Financial Theory","735","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Finance & Fiscal Pol","741","001","6","3.700","33.3","50.0",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Labor Economics","750","001","11","3.750","54.5","27.3","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Empir Anal-Ind Org&Pub Pol","762","001","17","3.618","47.1","29.4","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Bayesian Decisn&Cntrl","775","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Microeconomic Theory I","805","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Topics - Public Finance","845","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv International Economics","871","001","11","3.700","54.5","18.2","18.2",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Recent Advances-Economics","899","002","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Wrkshp in Math Econ Theory","901","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","903","001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Econometrics","913","001","14","3.856","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","Page 199 of 403",""
