"Grad Studies-Medical Hist","001
919","","7","3.875","42.9","14.3",".",".",".",".","",".","","42.9",".","",".",".","",".","",".",".",".","."
"","999
001","","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
002","","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Advanced Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","",""
"MED HIST
452","Dept. Total","","99","3.508","37.4","30.3","21.2",".","4.0","",".","",".","4.0","",".",".","",".","",".","2.0",".","1.0","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","","13","3.462","30.8","30.8","38.5",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","","49","3.406","26.5","42.9","20.4",".","8.2","",".","",".",".","",".",".","",".","",".","2.0",".",".","."
"Undergraduates","","","63","3.427","28.6","39.7","23.8",".","6.3","",".","",".",".","",".",".","",".","",".","1.6",".",".","."
"Special","","","8","3.389","25.0","25.0","25.0",".",".","",".","",".","12.5","",".",".","",".","",".",".",".","12.5","."
"Graduate","","","22","3.824","54.5","9.1","18.2",".",".","",".","",".","13.6","",".",".","",".","",".","4.5",".",".","."
"Prof Yr 3","","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","","4","3.875","75.0","25.0",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","","6","3.893","83.3","16.7",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","99","3.508","37.4","30.3","21.2",".","4.0","",".","",".","4.0","",".",".","",".","",".","2.0",".","1.0","."
