"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","118","3.175","13.6","39.0","27.1","12.7","5.1","0.8","0.8",".",".",".",".",".","0.8",".",".","."
"Introduction-Social Policy","206
001","91","2.950","1.1","31.9","37.4","22.0","4.4",".","2.2",".","1.1",".",".",".",".",".",".","."
"Cont Issues-Social Welfare","275
001","99","3.778","62.6","30.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
006","12","3.867","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
400","7","3.355","14.3","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","400
008","11","3.765","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
009","12","3.870","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
010","14","3.924","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
011","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
016","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
017","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","018
400","12","3.909","83.3",".","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","400
019","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
020","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr I","Course Total","120","3.849","74.2","21.7","2.5","0.8",".",".",".",".",".",".",".",".","0.8",".",".","."
"Social Prob-Aging & Old Age","422
001","17","3.471","17.6","64.7","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","440
001","26","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
002","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
003","26","3.750","61.5","26.9","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
004","11","3.773","72.7","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","440
005","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","440
006","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
007","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac I:Foundatn-Generalst Prac","Course Total","121","3.856","74.4","20.7","3.3","0.8",".",".",".",".",".",".",".",".","0.8",".",".","."
"","441
001","81","3.820","70.4","23.5","6.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
002","15","3.750","46.7","46.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","441
003","14","3.179","28.6","21.4","21.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","441
004","10","3.500","40.0","40.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Prac II: Individls, Fam, Grps","Course Total","120","3.737","60.0","27.5","7.5","1.7","2.5",".",".",".",".",".",".",".","0.8",".",".","."
"Alcohol & Other Drug Abuse","453
001","99","3.591","59.6","20.2","8.1","7.1","3.0","2.0",".",".",".",".",".",".",".",".",".","."
"Small Groups-Soc Work Pract","454
001","10","3.450","20.0","50.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Violence","523
001","54","3.361","29.6","38.9","16.7","11.1","1.9",".","1.9",".",".",".",".",".",".",".",".","."
"Homelessness: Service Learning","578
001","24","3.652","58.3","20.8","8.3","4.2","4.2",".",".",".",".",".",".",".","4.2",".",".","."
"","579
001","20","3.575","30.0","55.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","579
002","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","579
003","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","579
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Social Work","Course Total","55","3.750","52.7","30.9","7.3",".",".",".",".","1.8",".",".",".",".","7.3",".",".","."
"","001
605","39","3.737","46.2","51.3",".",".",".",".",".",".",".",".",".",".",".",".","2.6","."
"","605
002","31","3.387","25.8","35.5","32.3","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"","605
003","19","3.684","47.4","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Field of Social Work","Course Total","89","3.602","39.3","43.8","13.5","1.1","1.1",".",".",".",".",".",".",".",".",".","1.1","."
