"MED","","","","","","","","","","","","","","","","","","","",""
"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"699","031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","9","3.940","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","061","","22","3.286","13.6","31.8","45.5","4.5",".",".",".",".",".",".",".",".",".",".","4.5","."
"812","062","","18","3.375","33.3","5.6","44.4","5.6",".",".",".",".",".",".",".",".","5.6",".",".","5.6"
"812","063","","19","3.194","15.8","26.3","36.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".","5.3"
"812","064","","25","3.560","44.0","24.0","32.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Obs & Gynecology","Course Total","","84","3.369","27.4","22.6","39.3","4.8","1.2",".",".",".",".",".",".",".","1.2",".","1.2","2.4"
"910","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"910","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","4","***","","","","","","","","","","","","","","","",""
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Gynecol Oncology Clerk-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"924
Reproduct Med Clerkshp-CSC","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"High Risk Obst Clrk-Meriter","Course Total","","3","***","","","","","","","","","","","","","","","",""
"928
ObGyn Outptnt Clrk-LaCrosse","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"954
Endocrinlgy-Reprodctve Phys","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"955
Responsible Conduct","001","","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","22","3.946","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
