"PHM","","","","","","","","","","","","","","","","","","","","",""
"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","",""
"PHM PRAC
728","Dept. Total","1137","3.570","57.4","15.7","13.7","6.1","4.1","1.3","0.6","0.1","",".",".","",".",".","0.9",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","57","2.579","7.0","7.0","31.6","21.1","24.6","8.8",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","40","2.550","5.0","17.5","25.0","12.5","30.0","7.5","2.5",".","",".",".","",".",".",".",".",".","."
"Junior","","25","3.000","20.0","24.0","28.0","8.0","12.0","8.0",".",".","",".",".","",".",".",".",".",".","."
"Senior","","5","3.444","60.0",".","20.0","20.0",".",".",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","127","2.684","11.0","13.4","28.3","15.7","22.8","7.9","0.8",".","",".",".","",".",".",".",".",".","."
"Special","","3","",".",".",".",".",".",".",".","33.3","",".",".","",".",".","66.7",".",".","."
"Graduate","","22","3.891","86.4","9.1","4.5",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 1","","145","3.811","86.2","9.7","2.1",".","0.7","0.7","0.7",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","272","3.388","58.5","18.0","13.6","5.9","1.5","1.5",".",".","",".",".","",".","1.1",".",".",".","."
"Prof Yr 3","","455","3.283","31.9","13.6","15.6","6.8","2.4",".","1.1",".","",".",".","",".","28.6",".",".",".","."
"Prof Yr 4","","246","3.863","77.6","14.2","3.3","0.8","0.8",".",".",".","",".",".","",".",".","3.3",".",".","."
"Professionals","","1118","3.629","55.5","14.3","10.6","4.4","1.6","0.4","0.5",".","",".",".","",".","11.9","0.7",".",".","."
"","Dept. Total","1270","3.570","51.4","14.1","12.3","5.4","3.7","1.2","0.6","0.1","",".",".","",".","10.5","0.8",".",".","."
