"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"625
Toxicology I","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","169","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","174","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","179","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","180","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","183","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","190","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","195","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","204","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","206","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","214","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","217","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","218","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","219","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","229","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","231","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","236","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","241","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","242","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","244","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","245","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","246","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","247","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","248","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","72","3.984","97.2",".","1.4",".",".",".",".",".",".",".",".",".",".",".","1.4","."
"812","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","082","","24","3.476","25.0","33.3","29.2",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"Prin Int Med-Basic Clrkship","Course Total","","25","3.465","24.0","32.0","32.0",".",".",".",".",".",".",".",".",".",".",".",".","12.0"
"910
Indep Rdg & Rsch-4th Yr Med","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Palliative Care (CSC)","Course Total","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"918
Hlth Informatics-Med Students","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"919","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","Page 350 of 403",""
