"","POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","",""
"Contemp Populatn Probs-Honors","380","001","","11","3.364","18.2","54.5","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to SAS Prog for Pop Hlth","451","001","","18","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Air Pollution&Human Health","502","001","","49","3.571","38.8","36.7","24.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics of Health Care","548","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Biostats for Pop Hlth","551","001","","20","3.789","60.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"Internl Hlth & Global Society","553","001","","16","3.594","43.8","37.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Toxicology I","625","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","640","001","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations-Global Hlth Pract","","Course Total","","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650","026","","20","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","650","029","","10","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650","035","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650","065","","48","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","89","3.884","91.0","2.2","4.5",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"Adv Regression Mthds-Pop Hlth","651","001","","14","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Preven of Overweight & Obesity","664","001","","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","084","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","","22","3.963","77.3","4.5",".",".",".",".",".","9.1",".",".",".",".","4.5",".","4.5","."
"Qual-Hlth Care:Eval&Assurnc","703","001","","20","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin-Population Med&Epidemiol","717","001","","171","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"International Health Systems","718","003","","35","3.986","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Hlth: Principles&Pract","780","001","","44","3.895","77.3","20.5",".",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"","781","001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","781","002","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","781","003","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","781","004","","11","",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".",".",".","."
"Intro to Public Health Seminar","","Course Total","","39","",".",".",".",".",".",".",".",".",".","97.4","2.6",".",".",".",".","."
"MPH Field Experience Seminar","787","002","","14","3.875","71.4","7.1","7.1",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Public Health Field Experience","788","001","","21","3.942","61.9","9.5",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"Biol Basis-Population Health","794","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","","Page 372 of 403",""
