"TERM : 1132","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2012-2013","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"OBSTETRICS AND GYNECOLOG Section","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN
Dept. Total
436","185","3.574","64.9","11.9","18.4","2.2","0.5","",".","",".","",".","",".",".","",".","",".","0.5",".","0.5","1.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","2","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","6","3.912","83.3","16.7",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","8","3.932","87.5","12.5",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Special","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","73","3.979","98.6",".","1.4",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","79","3.373","26.6","24.1","39.2","3.8","1.3","",".","",".","",".","",".",".","",".","",".","1.3",".","1.3","2.5"
"Prof Yr 4","24","3.773","79.2","8.3","8.3","4.2",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Professionals","103","3.452","38.8","20.4","32.0","3.9","1.0","",".","",".","",".","",".",".","",".","",".","1.0",".","1.0","1.9"
"Dept. Total","185","3.574","64.9","11.9","18.4","2.2","0.5","",".","",".","",".","",".",".","",".","",".","0.5",".","0.5","1.1"
