"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","169","3.923","92.9","3.0","2.4","0.6","0.6","0.6",".",".",".",".",".",".",".",".",".","."
"Hum Response-Hlth & Illness I","212
001","144","3.955","93.1","5.6","0.7","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nursing I","219
001","144","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","299
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
032","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","4","***","","","","","","","","","","","","","","","",""
"Hlth Hist&Patient Assessmnt","301
001","144","3.906","86.1","11.1","1.4","0.7","0.7",".",".",".",".",".",".",".",".",".",".","."
"Mntl Hlth&Illness:Implcatn/Nur","310
001","77","3.916","84.4","14.3","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
322","63","3.849","76.2","19.0","3.2","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","Course Total","83","3.886","81.9","14.5","2.4","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"","419
001","50","3.990","96.0","2.0",".",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"","419
002","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","Course Total","67","3.992","97.0","1.5",".",".",".",".",".",".",".",".",".",".","1.5",".",".","."
"","422
001","128","3.715","54.7","34.4","10.2","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","20","3.675","50.0","35.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Concepts-Nurs Practice","Course Total","148","3.709","54.1","34.5","10.8","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"","001
433","131","3.813","67.2","29.8","2.3",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"","433
002","20","3.825","65.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Essentials-Gerontol Nursing","Course Total","151","3.815","66.9","30.5","2.0",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","001
449","60","3.892","83.3","11.7","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Primary Health Care-School","Course Total","2","***","","","","","","","","","","","","","","","",""
"","001
590","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","590
004","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
005","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","44","3.969","93.2","4.5",".",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"Honors Seminar","680
001","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","681
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
038","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
078","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
080","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
086","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
096","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","18","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
023","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","Page 385 of 403",""
