"PHYSICAL THERAPY","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"745
PHY THER","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cardiovasc&Pulmonry Treatmt","523
001","40","3.775","57.5","40.0","2.5",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"Foundatns-PT Exam,Eval,Diagnos","527
001","39","3.692","41.0","56.4","2.6",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"","539
001","20","4.000","100.0",".",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"","539
002","19","4.000","100.0",".",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"PT Educ&Lifespan Learning Iss","Course Total","39","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","541
001","20","4.000","100.0",".",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"","541
002","20","4.000","100.0",".",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"Culture&Diversity in Hlth Care","Course Total","40","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Clin: Tissue Mech & Adaptatns","001
627","39","3.615","46.2","30.8","23.1",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"Motor Control Dysfunction I","635
001","40","3.613","30.0","62.5","7.5",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"Current Issues-Rehabilitatn","641
001","40","",".",".",".",".",".",".","",".","",".","",".","","100.0",".","",".","",".",".",".","."
"","642
001","3","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","642
003","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research Practicum","Course Total","4","***","","","","","","","","","","","","","","","","","","","","","",""
"Clinical Medicine I","664
001","39","3.628","38.5","48.7","12.8",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"Musculoskeletal Dysfunction I","676
001","40","3.500","22.5","55.0","22.5",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"Clinical Internship IV","703
001","41","",".",".",".",".",".",".","",".","",".","",".","","100.0",".","",".","",".",".",".","."
"","799
035","2","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","799
037","3","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Study","Course Total","5","***","","","","","","","","","","","","","","","","","","","","","",""
"PHY THER
745","Dept. Total","406","3.655","43.8","28.6","6.9",".","0.2","",".","",".","",".","",".","20.0","",".","",".","0.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"745
PHY THER","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","2","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","3","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","6","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","156","3.674","56.4","34.0","9.6",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","203","3.632","41.4","31.0","6.4",".","0.5","",".","",".","",".","",".","19.7","",".","",".","1.0",".",".","."
"Prof Yr 3","","41","",".",".",".",".",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"Professionals","","400","3.652","43.0","29.0","7.0",".","0.3","",".","",".","",".","",".","20.3","",".","",".","0.5",".",".","."
"","Dept. Total","406","3.655","43.8","28.6","6.9",".","0.2","",".","",".","",".","",".","20.0","",".","",".","0.5",".",".","."
