"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"","606
001","","31","3.629","35.5","54.8","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","606
002","","18","3.735","50.0","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","5.6"
"Social Policy","Course Total","","49","3.667","40.8","49.0","8.2",".",".",".",".",".",".",".",".",".",".",".",".","2.0"
"Social Wrk with Small Group","624
002","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","640
001","","108","3.792","71.3","20.4","6.5","0.9",".","0.9",".",".",".",".",".",".",".",".",".","."
"Soc Work & Devel Disabilities","644
001","","28","3.880","78.6","7.1",".",".","3.6",".",".","3.6",".",".",".",".","7.1",".",".","."
"","646
001","","21","3.667","61.9","28.6",".",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"","646
002","","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
003","","17","3.559","47.1","29.4","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","004
646","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Abuse and Neglect","Course Total","","67","3.710","64.2","23.9","6.0","3.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"Understandng Latino Fam & Comm","657
001","","12","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Indian Affairs","658
001","","14","3.625","71.4","14.3","7.1",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"","672
001","","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
672","","9","2.889","22.2","22.2","33.3",".","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","Course Total","","15","3.133","20.0","40.0","26.7",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","699
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","3.889","90.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","711
001","","45","3.589","35.6","48.9","13.3","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","712
001","","18","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
712","","23","3.761","73.9","13.0","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","712
003","","27","3.537","29.6","51.9","14.8","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","712
004","","31","3.226","19.4","25.8","38.7","12.9","3.2",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology in Soc Wrk","Course Total","","99","3.525","41.4","31.3","19.2","7.1","1.0",".",".",".",".",".",".",".",".",".",".","."
"Methods-Planning Analysis","721
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","741
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
002","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
003","","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
004","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interventn-Chldrn, Youth, Fam","Course Total","","60","3.892","80.0","18.3","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
001","","16","3.955","62.5","6.3",".",".",".",".",".",".",".",".",".",".","31.3",".",".","."
"","800
003","","11","3.817","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","012
800","","7","3.583","42.9","14.3","28.6",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","800
013","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
014","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","Page 297 of 403",""
