"PHARMACEUTICAL SCIENCES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"Survey of Pharmacology","401","001","160","3.400","45.0","21.3","16.3","10.0","5.6","0.6","1.3",".",".",".",".",".",".",".",".","."
"Intro-Drug Action&Delivry I","420","001","139","3.450","32.4","41.0","15.1","7.2","4.3",".",".",".",".",".",".",".",".",".",".","."
"Pharmaceutical Biochemistry","432","001","139","3.371","36.7","24.5","20.9","13.7","3.6","0.7",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Pharm Sci","491","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","521","001","130","3.442","44.6","20.8","21.5","6.2","6.2","0.8",".",".",".",".",".",".",".",".",".","."
"","521","002","20","3.300","35.0","5.0","45.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacology I","","Course Total","150","3.423","43.3","18.7","24.7","7.3","5.3","0.7",".",".",".",".",".",".",".",".",".","."
"Drug Delivery Systems","540","001","130","3.085","9.2","27.7","41.5","13.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"Drug Delivery System Lab II","542","001","128","3.848","80.5","11.7","5.5","1.6","0.8",".",".",".",".",".",".",".",".",".",".","."
"Lab Techniques-Pharmcol&Toxcol","558","001","22","3.750","59.1","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacology III","623","001","133","3.793","71.4","18.8","7.5","1.5","0.8",".",".",".",".",".",".",".",".",".",".","."
"Toxicology I","625","001","20","3.450","35.0","30.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Drug Interactions","635","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonprescription Medications","638","001","115","3.296","22.6","30.4","32.2","13.0","1.7",".",".",".",".",".",".",".",".",".",".","."
"Phmceut","645","001","133","3.895","85.0","9.8","3.8","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"Biotech&Phmacogenomics","","","","","","","","","","","","","","","","","","","",""
"","699","016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","048","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","050","6","3.923","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","059","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","082","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","084","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","085","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","185","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","285","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","33","3.985","97.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacokinetics","768","001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Pharmaceut Sci","780","001","12","3.792","83.3","8.3",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Research Ethics","800","002","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem-Biology Interface I","890","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","931","011","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","931","012","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","931","013","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pharmaceutical Sci Seminar","","Course Total","44","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","990","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","049","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","050","2","***","","","","","","","","","",".",".",".",".",".",".","."
