"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"699","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","099","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","171","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","67","3.912","94.0",".","1.5",".",".","1.5",".",".",".",".",".",".","3.0",".",".","."
"700
Intro Prosmr-Grad Students","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"730
Intmed Soc Psych-Indiv&Scty","001","","9","3.357","22.2","22.2","22.2","11.1",".",".",".",".",".",".",".",".","22.2",".",".","."
"735
EmethodologyConvAnalysis","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"748
Environmental Sociology","001","","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"750
Research Methods-Sociology","001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"752
Measurement&Questionnaires","001","","17","3.750","52.9","17.6","11.8",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"797
Introduction to Epidemiology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","34","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"915
Seminar-Sociological Theory","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"923
Smr-Social Stratification","001","","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"924
Seminar-Political Sociology","001","","9","3.786","44.4","33.3",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"930
Seminar - Socio-Legal Studies","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940
Smr: Sociol-Econ Change","001","","9","4.000","44.4",".",".",".",".",".",".",".",".",".",".",".","55.6",".",".","."
"945
Seminar-Rural Sociology","001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"952
Math&Stat Applications-Soc","002","","16","3.667","25.0","50.0",".",".",".",".",".","18.8",".",".",".",".","6.3",".",".","."
"955
Smr-Qualitative Methodology","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"983
Research: Economic Sociology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"984
Rsch:Sociol of Gender Trainees","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"987
Rsch: Race & Ethnic Studies","001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 14, 2013","","","","","","","","","","","","","","","","","","","Page 302 of 403",""
