"TERM : 1102","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2009-2010","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"SENIOR MEDICAL PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"882
SR MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"SR MED
882","Dept. Total","258","3.629","57.0","20.9","19.4","1.6","0.4","",".","",".","",".","",".",".","",".","",".","0.8",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"882
SR MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prof Yr 2","","1","3.000",".",".","100.0",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","142","3.532","42.3","25.4","29.6","1.4",".","",".","",".","",".","",".",".","",".","",".","1.4",".",".","."
"Prof Yr 4","","115","3.799","75.7","15.7","6.1","1.7","0.9","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Professionals","","258","3.629","57.0","20.9","19.4","1.6","0.4","",".","",".","",".","",".",".","",".","",".","0.8",".",".","."
"","Dept. Total","258","3.629","57.0","20.9","19.4","1.6","0.4","",".","",".","",".","",".",".","",".","",".","0.8",".",".","."
