"TERM : 1102","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2009-2010","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","","","","",""
"MOLECULAR & ENVIRONMENTA Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","",""
"M&ENVTOX
Dept. Total
362","145","3.446","18.6","10.3","11.0","1.4","2.1","0.7","",".","55.2","",".",".","",".","",".","",".","0.7",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","10","3.036","40.0","10.0","30.0",".","20.0",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","10","3.036","40.0","10.0","30.0",".","20.0",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","2","3.000",".",".","50.0",".",".",".","",".",".","",".",".","",".","",".","",".","50.0",".","."
"Graduate","132","3.536","17.4","10.6","9.1","1.5","0.8","0.8","",".","59.8","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","1","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","1","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Dept. Total","145","3.446","18.6","10.3","11.0","1.4","2.1","0.7","",".","55.2","",".",".","",".","",".","",".","0.7",".","."
